date,Model_name,Batch_size,Resolution,No. training,No. testing,Training Epoch,More,box_loss,obj_loss,cls_loss,precision,recall,mAP_0.5,mAP_0.5:0.95,No. star,No. BH,Time,BH_lower_size,BH_upper_size,init_size,wavelength,D,F,angular_pixel_size_input_image,CCD_pixel_size,CCD_pixel_count,noise_radius
2024-02-15_23-13-13,yolov5,8,1024,2400,600,300,,0.017139,0.022153,0.0065762,0.84784,0.69458,0.77712,0.43928,10,1,3758.673336,30,50,3072,1.00E-07,6.5,131.4,0.00015,9.56E-08,3072,
2024-02-16_00-15-52,yolov5,8,1024,2400,600,300,,0.020843,0.023443,0.0068374,0.74702,0.60827,0.80529,0.41823,10,1,3877.069211,30,50,3072,1.00E-07,6.5,131.4,0.00016,1.02E-07,3072,
2024-02-16_01-20-29,yolov5,8,1024,2400,600,300,,0.023139,0.026407,0.0047413,0.87108,0.65707,0.75365,0.35729,10,1,3777.05014,30,50,3072,1.00E-07,6.5,131.4,0.00017,1.08E-07,3072,
2024-02-16_02-23-26,yolov5,8,1024,2400,600,300,,0.023283,0.024465,0.004826,0.85103,0.69129,0.77875,0.42111,10,1,3777.821204,30,50,3072,1.00E-07,6.5,131.4,0.00018,1.15E-07,3072,
2024-03-01_19-54-38,yolov5,8,1024,800,200,300,,0.025271,0.024955,0.0072121,0.4652,0.4825,0.45763,0.25193,10,1,7924.042945,30,50,3072,1.00E-07,6.5,131.4,1.00E-05,6.37E-09,3072,3
2024-03-01_22-06-42,yolov5,8,1024,800,200,300,,0.010394,0.014854,0.0054993,0.71634,0.71367,0.73687,0.54145,10,1,9101.859487,30,50,3072,1.00E-07,6.5,131.4,3.00E-05,1.91E-08,3072,3
2024-03-02_00-38-24,yolov5,8,1024,800,200,300,,0.0097195,0.014214,0.0024113,0.93168,0.76786,0.85216,0.6391,10,1,9318.516087,30,50,3072,1.00E-07,6.5,131.4,5.00E-05,3.19E-08,3072,3
2024-03-02_03-13-43,yolov5,8,1024,800,200,300,,0.010199,0.014153,0.0026179,0.91653,0.7703,0.84094,0.62388,10,1,8653.584026,30,50,3072,1.00E-07,6.5,131.4,7.00E-05,4.46E-08,3072,3
2024-03-02_05-37-57,yolov5,8,1024,800,200,300,,0.010628,0.014397,0.0037714,0.90335,0.74024,0.90422,0.66025,10,1,7452.066651,30,50,3072,1.00E-07,6.5,131.4,9.00E-05,5.73E-08,3072,3
2024-03-02_07-42-09,yolov5,8,1024,800,200,300,,0.01045,0.015716,0.0057217,0.89598,0.71826,0.92453,0.6789,10,1,9179.074105,30,50,3072,1.00E-07,6.5,131.4,0.00011,7.01E-08,3072,3
