,Pred,Real
0,-120.27148,227.0151
1,73.755104,78.546455
2,114.55322,121.47702
3,-34.251354,324.5887
4,-70.9143,283.3439
5,-119.06408,237.52823
6,-111.66903,230.07227
7,-36.340073,315.25455
8,-171.13695,174.67227
9,-24.846518,332.53772
10,-66.21658,288.50302
11,3.0675914,4.611779
12,123.38339,126.92781
13,32.507458,39.007717
14,-130.85379,222.27571
15,-167.90686,176.84467
16,-123.16244,227.27495
17,46.845757,48.346786
18,-146.3635,206.27684
19,106.043526,117.620705
20,-123.117905,221.65146
21,103.04403,105.921326
22,-155.1842,199.94383
23,118.89746,136.60616
24,17.811169,18.49936
25,-41.472874,323.26645
26,106.62166,201.7862
27,-93.922104,267.54654
28,-125.01471,224.07828
29,27.089773,30.03786
30,-85.66158,267.07562
31,-44.680374,316.11725
32,-133.00871,216.75893
33,-13.173725,346.56702
34,-147.39206,214.6972
35,-30.119806,327.07242
36,52.46675,53.345562
37,-14.09471,341.41702
38,0.88833666,3.4696674
39,-133.41019,213.64488
40,67.019875,75.27496
41,62.034782,69.8814
42,105.07453,115.474915
43,-2.752136,355.8066
44,42.515846,49.341938
45,98.777626,93.10933
46,-27.73866,327.58664
47,143.89835,142.51898
48,-0.5289908,358.66895
49,-68.32851,287.3835
50,-95.09514,262.8733
51,97.26465,98.26186
52,-197.71924,152.79895
53,-114.70565,237.78015
54,152.49188,164.03154
55,-121.47074,225.74562
56,0.29578945,9.468131
57,-111.33011,247.1561
58,-86.154144,265.42572
59,40.39175,40.569523
60,-161.71594,180.39351
61,154.81862,146.11253
62,156.61241,150.89537
63,-122.953255,229.7634
64,70.224625,68.47347
65,166.63829,187.96077
66,-44.872097,305.24442
67,-160.36978,174.72769
68,-11.417873,347.34827
69,115.89309,118.09893
70,45.38812,46.833576
71,-37.878696,319.9319
72,-114.84086,245.3115
73,-42.72035,314.29776
74,-9.908753,350.39676
75,-24.862246,334.278
76,32.07744,40.330433
77,-68.17283,288.47598
78,105.81436,109.15145
79,-72.838585,286.39313
80,97.94243,116.8283
81,43.953045,46.73472
82,0.5581603,4.2496414
83,10.846689,13.833241
84,19.685667,20.230013
85,136.49626,144.51173
86,159.33374,168.8558
87,-111.28326,234.16357
88,66.021286,68.98429
89,-88.2479,258.91376
90,-142.265,218.4962
91,-30.495062,324.29034
92,53.257717,49.819588
93,-33.557884,323.52798
94,-197.9443,163.62633
95,109.96578,111.23251
96,-113.55502,249.16217
97,153.42883,148.85664
98,171.73352,152.82986
99,54.748814,51.649025
100,110.96269,113.86598
101,118.15473,121.374084
102,85.725174,78.58006
103,-117.90209,238.21576
104,-171.62415,170.83653
105,-169.963,187.66994
106,-7.765288,348.64328
107,-129.20842,220.95619
108,-37.912613,316.54553
109,74.727745,70.61058
110,148.00697,168.21194
111,-91.26312,264.6302
112,53.91215,55.256935
113,-112.36061,247.08458
114,-84.01924,267.08408
115,-42.826847,312.82062
116,-1.2556087,354.41812
117,156.11533,166.579
118,-131.51622,212.76474
119,9.358019,7.682672
120,-181.09894,159.54767
