Pred_inc,Pred_PA,Real_inc,Real_PA
17.946741,71.64469,-77.2,86.04318
-39.077847,26.879368,59.4,27.130436
-43.927452,-4.7071133,-41.3,11.459832
59.621212,-59.652298,70.9,292.2048
29.962034,-64.05434,30.3,278.63403
-44.047867,-22.968111,-60.4,335.48026
-58.125282,131.01265,-68.9,154.79282
-28.713356,-70.47395,-24.4,295.26453
-65.708565,24.72006,-87.0,335.13083
-65.06947,-159.81137,-70.3,177.96599
63.100636,-165.68166,70.6,186.37436
17.031965,44.74706,19.9,33.862656
-13.340984,152.61961,-7.9,160.37181
26.201595,-119.793335,29.5,230.84923
71.064545,-162.61632,-87.3,185.19864
-56.59069,44.663307,-59.5,57.00452
58.4984,127.36067,78.8,115.610756
50.261597,79.748375,64.5,62.841763
0.68858594,8.734422,-3.5,25.398268
19.379345,3.1951299,24.2,3.936436
7.199778,94.03113,9.1,99.87779
0.64412653,113.98557,2.4,133.29895
-56.122257,23.388536,-48.8,36.57694
75.092705,-19.002153,-88.6,105.222855
51.33062,95.53444,52.7,96.36009
53.771942,-96.68436,58.6,256.04562
-54.528763,-145.18759,-55.2,202.8019
44.958294,-59.90095,50.7,286.3664
49.938793,-13.0790825,82.5,321.36417
56.193,139.66191,67.4,102.721504
-73.60434,-117.58721,70.3,215.91913
-29.375439,101.60965,-29.7,109.54907
64.59715,-137.63625,75.9,177.55661
42.430435,-174.68896,49.4,167.44044
45.233692,-176.0968,-55.6,181.13959
58.339527,42.594147,77.2,9.723186
40.808735,47.711716,47.2,38.92257
46.08224,-33.96966,-88.9,345.4584
53.951756,70.37284,55.6,62.750214
9.590118,62.897083,16.9,51.505405
-5.4701114,146.48923,-19.1,164.27309
-20.549137,-7.547066,-23.6,349.16235
38.091434,151.54445,45.3,150.61128
62.005466,-163.74818,67.6,177.61829
32.962917,-96.592476,29.9,252.47414
-55.7872,-41.344585,-61.0,337.67072
-49.542343,113.78697,78.8,145.0978
-76.031906,-26.471428,-85.4,296.22238
25.95138,-98.88013,26.7,246.39688
60.26407,-107.94557,73.1,268.91785
73.41774,40.93464,87.4,151.11967
-62.986435,121.464806,-67.5,133.45634
-76.57449,80.904526,-88.2,94.11179
58.657402,3.0201645,85.7,62.482723
