               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076167,            0.053251,            0.013197,             0.19495,              0.4355,             0.21055,            0.060333,            0.053667,            0.031017,           0.0083531,              0.0706,           0.0032667,           0.0032667
                   1,            0.059249,             0.03309,            0.008445,            0.061804,             0.31775,            0.061373,             0.01367,            0.059494,            0.022821,           0.0072678,            0.040567,           0.0065673,           0.0065673
                   2,            0.059196,            0.028723,           0.0082381,             0.57459,              0.2615,            0.066827,            0.015297,            0.055998,            0.026087,           0.0071389,            0.010502,            0.009835,            0.009835
                   3,            0.047839,            0.031432,           0.0075168,             0.74395,             0.35203,             0.36859,             0.12828,            0.047922,            0.030253,           0.0068368,           0.0098515,           0.0098515,           0.0098515
                   4,            0.040724,            0.027678,           0.0075946,             0.78529,             0.40425,             0.44519,             0.15731,            0.036588,            0.024308,           0.0065645,           0.0098515,           0.0098515,           0.0098515
                   5,            0.036048,            0.027065,            0.007557,             0.42996,             0.72119,             0.65469,             0.27219,            0.027647,            0.020664,           0.0063688,            0.009802,            0.009802,            0.009802
                   6,             0.03414,            0.024787,           0.0073517,             0.44199,              0.7475,             0.64908,             0.27212,             0.02885,            0.021878,           0.0061382,           0.0097525,           0.0097525,           0.0097525
                   7,            0.031372,            0.022837,           0.0071058,             0.94776,             0.46709,             0.45852,             0.17586,            0.029076,            0.020289,           0.0061406,            0.009703,            0.009703,            0.009703
                   8,            0.030822,             0.02219,           0.0072388,             0.63097,              0.7055,             0.68035,             0.31307,             0.02975,            0.017829,           0.0060096,           0.0096535,           0.0096535,           0.0096535
                   9,             0.02838,             0.02231,           0.0068257,              0.6303,             0.79319,             0.75204,             0.37532,            0.024747,            0.020542,           0.0059268,            0.009604,            0.009604,            0.009604
                  10,            0.027429,            0.021122,           0.0069207,             0.71889,             0.76675,             0.78804,             0.36055,            0.024786,            0.021941,           0.0058032,           0.0095545,           0.0095545,           0.0095545
                  11,            0.028273,            0.021246,            0.006384,             0.57756,             0.60525,             0.55997,             0.34117,             0.02664,            0.017529,           0.0058055,            0.009505,            0.009505,            0.009505
                  12,            0.026186,            0.020598,           0.0063653,             0.62754,              0.7105,             0.68853,             0.37414,            0.023351,            0.019526,           0.0058588,           0.0094555,           0.0094555,           0.0094555
                  13,            0.025569,            0.019892,           0.0064221,             0.74134,             0.70675,             0.70681,             0.37887,            0.023253,            0.016288,           0.0058063,            0.009406,            0.009406,            0.009406
                  14,            0.024733,             0.01933,           0.0064206,             0.82327,              0.7075,             0.76197,             0.43077,            0.022125,               0.016,           0.0057717,           0.0093565,           0.0093565,           0.0093565
                  15,            0.024307,            0.020167,           0.0058486,             0.84961,             0.70075,             0.75956,             0.43945,            0.021878,            0.018374,            0.005702,            0.009307,            0.009307,            0.009307
                  16,            0.023658,            0.019716,           0.0060121,             0.85707,             0.69682,              0.7608,             0.34483,            0.023466,            0.020465,           0.0056623,           0.0092575,           0.0092575,           0.0092575
                  17,            0.022257,            0.018765,           0.0055538,             0.88182,             0.68122,             0.80036,             0.40878,            0.024156,            0.024472,           0.0054828,            0.009208,            0.009208,            0.009208
                  18,            0.022391,            0.018644,           0.0052116,             0.82787,              0.7161,             0.78231,             0.33323,            0.031185,            0.022224,           0.0056576,           0.0091585,           0.0091585,           0.0091585
                  19,            0.022569,            0.018614,           0.0056033,             0.91437,              0.6825,              0.7971,             0.34955,            0.032093,            0.021135,           0.0053384,            0.009109,            0.009109,            0.009109
                  20,             0.02208,             0.01856,           0.0057023,              0.8792,             0.68489,             0.79066,             0.37178,            0.029569,            0.024422,           0.0052062,           0.0090595,           0.0090595,           0.0090595
                  21,            0.021188,            0.018346,           0.0051032,             0.89362,             0.67922,             0.78465,              0.4556,            0.019671,              0.0269,           0.0051608,             0.00901,             0.00901,             0.00901
                  22,             0.02191,             0.01838,           0.0047204,             0.89199,             0.66575,             0.78485,             0.31408,            0.033176,            0.024803,           0.0049731,           0.0089605,           0.0089605,           0.0089605
                  23,            0.021273,            0.018389,           0.0050713,              0.8827,             0.66389,              0.7872,             0.42829,            0.028341,            0.024479,           0.0051372,            0.008911,            0.008911,            0.008911
                  24,            0.020106,            0.017902,           0.0046664,             0.93349,             0.66452,             0.80314,             0.50255,            0.017055,            0.020797,           0.0044204,           0.0088615,           0.0088615,           0.0088615
                  25,             0.02006,            0.017624,           0.0048357,             0.92532,             0.69097,             0.81391,             0.48278,            0.020262,            0.023048,           0.0044975,            0.008812,            0.008812,            0.008812
                  26,            0.019774,             0.01797,           0.0045494,             0.90914,             0.68408,             0.80126,             0.37328,            0.024835,            0.024578,            0.004381,           0.0087625,           0.0087625,           0.0087625
                  27,            0.019704,            0.017638,           0.0042227,             0.90498,             0.74879,              0.8332,             0.37408,            0.026711,            0.029037,           0.0041563,            0.008713,            0.008713,            0.008713
                  28,            0.020091,               0.018,           0.0043251,             0.91779,             0.75114,             0.85093,              0.3546,            0.026944,            0.028608,           0.0042539,           0.0086635,           0.0086635,           0.0086635
                  29,            0.019248,            0.017718,           0.0040973,             0.90783,             0.76273,             0.82531,             0.32795,            0.030444,            0.030218,           0.0043526,            0.008614,            0.008614,            0.008614
                  30,            0.019208,            0.017342,           0.0037415,             0.90361,             0.77613,             0.85345,             0.34803,            0.028597,            0.029395,            0.006844,           0.0085645,           0.0085645,           0.0085645
                  31,            0.019433,            0.017865,           0.0034577,             0.87378,             0.76753,              0.8759,              0.3967,            0.024009,            0.027132,            0.006313,            0.008515,            0.008515,            0.008515
