Pred_inc,Pred_PA,Real_inc,Real_PA
-73.66144,100.8428,-77.2,117.26895
58.149246,49.301144,59.4,45.86576
-35.28016,-1.4613792,-41.3,359.8534
67.1979,-105.3881,70.9,257.65222
28.034046,-79.04432,30.3,268.5013
-56.29627,179.45676,-60.4,176.9193
-63.82018,-117.638985,-68.9,255.36421
-24.722025,-96.460396,-24.4,241.61275
9.510049,100.81006,-87.0,85.05701
-62.33074,-120.54252,-70.3,220.77484
67.38834,180.03374,70.6,190.27405
21.275276,10.257642,19.9,13.413047
-4.3226137,138.50685,-7.9,143.0059
27.258629,-57.88367,29.5,296.12994
-80.80394,-36.129898,-87.3,15.579031
-56.88329,-16.50194,-59.5,343.4088
73.35208,181.56747,78.8,180.51787
63.278305,62.81556,64.5,61.15389
-3.3210003,186.19392,-3.5,201.60988
24.82564,-115.85957,24.2,237.27364
14.247277,80.541435,9.1,81.80447
0.31185812,159.00638,2.4,173.09486
-47.61196,-86.60982,-48.8,263.54477
-79.39962,-26.088322,-88.6,51.877895
51.992603,52.943542,52.7,56.272205
57.16206,-61.15619,58.6,288.77737
-51.39014,-0.062035583,-55.2,359.3446
53.157593,-54.87313,50.7,298.18762
58.98974,38.58601,82.5,32.664314
59.02996,47.31235,67.4,31.934917
71.09762,30.289747,70.3,28.094557
-23.979006,-24.536652,-29.7,335.42273
-27.35545,91.044815,75.9,65.11286
48.91064,-108.44892,49.4,236.74605
-51.813477,168.01602,-55.6,183.89099
74.31033,98.736,77.2,126.60457
45.05018,-46.537956,47.2,305.82892
-79.92196,-57.915745,-88.9,292.15442
50.892555,-57.391026,55.6,291.62827
14.543465,84.120224,16.9,91.22223
-18.537098,42.207108,-19.1,46.96322
-20.259712,122.12067,-23.6,126.356
43.38609,-89.717186,45.3,276.71082
67.64288,24.55147,67.6,21.241997
27.568226,-75.74224,29.9,282.41394
-61.782867,-47.430523,-61.0,311.53442
74.057495,-49.67435,78.8,316.86456
-75.43431,59.675983,-85.4,12.042369
25.099186,161.91714,26.7,166.05305
64.992775,-13.470981,73.1,4.5384417
80.56486,153.30714,87.4,117.57218
-65.69552,-47.384247,-67.5,315.72318
90.00858,38.488956,-88.2,104.280685
83.28114,38.306713,85.7,78.22341
-38.02113,-28.128109,-47.3,330.8905
79.160286,49.718376,78.5,78.26505
77.34545,-8.478749,78.5,5.0213237
30.656788,-94.01848,33.8,262.02402
-26.032688,66.31994,-28.2,68.47345
45.968994,60.75433,44.4,60.975716
-76.30971,166.64954,-86.4,263.42593
53.678207,-56.48339,57.2,299.63132
-54.993496,-128.99593,-62.7,227.959
24.08479,104.92961,23.3,112.863716
77.214424,137.49522,82.3,142.7449
-22.796635,-133.94263,-30.5,211.13434
79.459305,132.8197,-85.7,214.85211
58.182346,-31.105425,61.5,326.08356
-45.386333,158.46536,-48.1,174.21571
65.63029,135.61482,70.3,142.62064
-60.70655,-107.15932,-74.4,259.7359
70.26529,-93.91134,69.3,255.69667
85.40949,-140.2358,76.1,204.22969
72.044334,188.9007,76.1,205.63708
75.60398,-134.42784,78.6,206.80132
-69.744606,-50.89237,-77.1,304.07468
-8.016229,31.481174,-8.9,26.651907
13.234233,-85.618835,13.4,259.91473
29.886786,-15.361121,27.6,344.37674
17.164467,-73.6618,17.2,300.96237
16.289446,-114.82289,13.4,227.6544
42.859074,-36.019566,39.2,321.94333
-23.5534,2.1623352,-26.7,359.99118
10.740125,60.130676,12.3,68.562546
56.79605,167.0448,56.6,181.68805
50.075558,48.16395,52.0,52.833183
-10.4184475,120.88642,-12.0,118.31061
11.258002,87.086006,14.9,97.16165
-0.5944081,-35.537174,-2.8,330.93777
80.49027,68.55737,87.5,198.35979
-29.871395,130.7972,-32.5,144.08519
1.9936411,-27.27264,5.7,326.53534
-21.36127,82.3814,-19.3,84.717735
37.422146,-129.14566,42.3,217.54478
33.290432,-12.610942,31.2,342.32248
77.31624,190.4325,72.3,167.0439
-47.81758,-58.223957,-49.0,292.70944
71.01291,91.62046,73.7,90.744446
78.12721,188.14723,79.0,165.18849
-36.72484,123.19463,-44.4,124.00021
39.820446,-26.748371,44.3,332.34497
-61.413902,-76.32068,-61.5,281.3053
-65.96539,-45.091633,-74.2,290.92188
25.532825,39.46107,28.9,38.322697
76.47492,-129.49298,79.1,207.47295
-33.661434,34.010685,-35.8,34.81358
5.207661,131.63118,2.9,135.86095
9.405077,83.99584,9.7,88.86714
-49.50567,159.96838,-54.2,176.54614
2.445403,22.572037,3.1,24.955309
-29.482946,163.59262,-33.1,180.09137
27.74076,-44.950188,30.5,317.8597
-64.1148,-24.225134,-61.9,340.39487
-56.35539,-51.398857,-62.9,289.8966
-79.433846,-92.76383,-80.3,233.07097
-43.212673,-39.030155,-44.8,320.57312
43.68402,104.17326,42.4,116.94527
7.786594,95.44127,9.4,97.49584
22.325018,143.74533,22.8,149.2312
51.563152,132.95937,49.7,135.0194
7.005446,121.12542,7.0,124.43463
52.581005,-13.509882,48.9,343.61633
