               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08159,            0.051153,            0.014411,             0.10548,              0.2065,            0.080028,            0.012899,            0.065008,            0.028242,           0.0098332,              0.0706,           0.0032667,           0.0032667
                   1,            0.061564,            0.033995,            0.008584,            0.071789,              0.3205,            0.064903,            0.015302,            0.057826,            0.025837,           0.0083357,            0.040578,           0.0065782,           0.0065782
                   2,            0.057819,            0.032673,           0.0081294,             0.58292,             0.10964,            0.046065,           0.0075806,            0.062067,            0.023024,           0.0083448,            0.010534,           0.0098678,           0.0098678
                   3,            0.050695,            0.032407,            0.007978,            0.058117,              0.4435,            0.046461,            0.010093,            0.054237,            0.030009,           0.0080817,            0.009901,            0.009901,            0.009901
                   4,            0.043804,            0.031196,           0.0076094,             0.64882,             0.21075,             0.19488,            0.060907,            0.045981,             0.03076,           0.0076501,            0.009901,            0.009901,            0.009901
                   5,            0.038914,            0.029295,           0.0076606,             0.27576,             0.60075,             0.36121,             0.14756,            0.041914,            0.027777,           0.0074374,            0.009868,            0.009868,            0.009868
                   6,            0.035207,             0.02815,           0.0074024,             0.24623,               0.798,             0.47704,             0.18108,            0.040532,            0.025964,           0.0074709,            0.009835,            0.009835,            0.009835
                   7,            0.033442,            0.026359,           0.0073573,             0.58544,             0.61275,             0.57231,             0.30401,            0.029657,            0.022033,           0.0073815,            0.009802,            0.009802,            0.009802
                   8,             0.03276,            0.025077,           0.0070469,             0.48941,               0.635,             0.57824,             0.31121,            0.031357,            0.021815,           0.0073212,            0.009769,            0.009769,            0.009769
                   9,            0.030988,            0.025714,           0.0073249,             0.43624,             0.83325,             0.59177,             0.35747,            0.030605,            0.021699,           0.0073652,            0.009736,            0.009736,            0.009736
                  10,            0.029524,            0.024984,           0.0070752,             0.45535,              0.8385,             0.61459,             0.33098,            0.026929,            0.021221,           0.0072619,            0.009703,            0.009703,            0.009703
                  11,            0.028603,            0.025068,           0.0069596,             0.41638,             0.78125,             0.59211,             0.32774,            0.026543,            0.021956,            0.007232,             0.00967,             0.00967,             0.00967
                  12,            0.028328,             0.02424,           0.0070439,             0.45591,             0.84925,             0.60199,              0.3435,            0.025166,            0.021189,           0.0072601,            0.009637,            0.009637,            0.009637
                  13,            0.027116,            0.023657,           0.0071784,             0.45194,              0.8255,             0.63538,             0.37318,            0.025464,            0.020133,           0.0072909,            0.009604,            0.009604,            0.009604
                  14,            0.026567,            0.023028,           0.0069053,             0.47583,             0.88775,             0.65022,             0.37893,            0.026741,            0.023592,           0.0073384,            0.009571,            0.009571,            0.009571
                  15,            0.025718,            0.023747,           0.0071428,             0.44872,             0.86425,             0.62787,              0.3657,             0.02809,            0.022968,           0.0073608,            0.009538,            0.009538,            0.009538
                  16,              0.0248,            0.023229,           0.0071218,             0.43129,             0.90425,              0.6567,              0.3404,            0.021789,             0.02582,           0.0074637,            0.009505,            0.009505,            0.009505
                  17,            0.024818,             0.02275,           0.0067756,             0.44518,               0.906,             0.63063,             0.35088,            0.022128,            0.024857,           0.0074679,            0.009472,            0.009472,            0.009472
                  18,             0.02436,             0.02294,           0.0068159,              0.4439,              0.8825,             0.62074,             0.33606,            0.019552,            0.025383,            0.007501,            0.009439,            0.009439,            0.009439
                  19,            0.023637,            0.022443,           0.0064659,             0.43291,              0.8845,             0.60943,             0.26874,            0.028945,            0.030668,            0.007642,            0.009406,            0.009406,            0.009406
                  20,            0.024211,            0.022627,           0.0065704,             0.43769,              0.8805,             0.59689,             0.26656,            0.030627,            0.030361,           0.0073955,            0.009373,            0.009373,            0.009373
                  21,            0.023162,            0.022308,           0.0066413,             0.43041,             0.87325,             0.61387,             0.27351,            0.029559,            0.027942,           0.0073382,             0.00934,             0.00934,             0.00934
                  22,            0.023233,            0.022943,           0.0063626,             0.45631,               0.895,             0.60777,             0.25994,            0.029893,              0.0279,            0.007375,            0.009307,            0.009307,            0.009307
                  23,            0.022969,            0.022734,           0.0064973,             0.46907,              0.8765,             0.62302,             0.28243,            0.027219,            0.026614,           0.0070833,            0.009274,            0.009274,            0.009274
                  24,             0.02203,            0.022472,           0.0063999,               0.475,             0.86525,             0.61714,             0.29859,             0.02675,            0.024503,           0.0070642,            0.009241,            0.009241,            0.009241
                  25,            0.022356,            0.021505,           0.0063326,             0.48962,             0.87525,             0.67411,             0.36471,            0.024515,            0.023049,           0.0065752,            0.009208,            0.009208,            0.009208
                  26,            0.021762,            0.022172,           0.0063086,             0.47749,             0.86375,              0.6478,             0.30831,            0.022266,            0.024038,           0.0065238,            0.009175,            0.009175,            0.009175
                  27,            0.022135,            0.021933,           0.0059121,             0.46681,              0.8915,             0.63083,              0.2862,            0.026259,            0.028308,           0.0072329,            0.009142,            0.009142,            0.009142
                  28,            0.021186,            0.022332,           0.0059662,             0.47365,             0.87275,             0.65775,             0.30965,            0.025292,            0.026649,           0.0070866,            0.009109,            0.009109,            0.009109
                  29,            0.019993,             0.02152,           0.0060769,             0.49343,               0.805,             0.65788,             0.33432,            0.021585,            0.024727,           0.0069604,            0.009076,            0.009076,            0.009076
                  30,            0.020741,            0.021447,           0.0056787,             0.47703,                0.83,             0.67414,             0.35207,            0.022877,            0.026253,           0.0069172,            0.009043,            0.009043,            0.009043
                  31,            0.020168,            0.021702,           0.0058725,             0.50936,             0.77743,             0.67975,             0.35272,            0.023506,            0.023947,           0.0067631,             0.00901,             0.00901,             0.00901
                  32,            0.020253,            0.021568,           0.0053252,              0.6004,              0.7165,             0.69268,             0.35589,            0.022487,            0.022342,           0.0059259,            0.008977,            0.008977,            0.008977
                  33,             0.01981,            0.021153,           0.0053726,              0.6892,             0.69375,             0.71139,             0.39978,            0.018959,            0.020929,           0.0059092,            0.008944,            0.008944,            0.008944
                  34,            0.020818,            0.021359,           0.0055008,             0.79918,              0.6385,             0.69523,             0.37973,             0.01892,            0.024151,           0.0058467,            0.008911,            0.008911,            0.008911
                  35,            0.020886,            0.021498,           0.0050287,             0.89991,             0.59365,             0.69181,             0.35811,            0.022094,            0.022478,           0.0055746,            0.008878,            0.008878,            0.008878
                  36,            0.020607,            0.021574,           0.0051803,             0.84921,             0.60584,             0.69938,               0.354,             0.02059,            0.022305,           0.0052462,            0.008845,            0.008845,            0.008845
                  37,            0.019708,            0.021354,           0.0051199,              0.8554,               0.598,             0.69774,             0.37965,            0.018705,            0.021924,           0.0058514,            0.008812,            0.008812,            0.008812
                  38,            0.019354,            0.021387,           0.0050453,             0.81958,             0.60925,             0.68038,             0.34233,            0.020902,             0.02427,           0.0056896,            0.008779,            0.008779,            0.008779
                  39,            0.019859,            0.021304,           0.0049554,             0.79071,             0.60206,             0.66217,             0.31844,            0.023669,             0.02707,           0.0062669,            0.008746,            0.008746,            0.008746
                  40,             0.01981,            0.021454,           0.0045132,             0.76078,              0.6205,             0.65706,             0.31124,            0.023498,            0.028496,           0.0060778,            0.008713,            0.008713,            0.008713
                  41,            0.020592,            0.021176,           0.0048602,             0.75711,             0.61941,             0.65476,             0.31546,            0.023855,             0.02865,           0.0062891,             0.00868,             0.00868,             0.00868
                  42,            0.018436,            0.021635,           0.0045688,              0.6481,             0.61736,             0.64725,             0.28665,            0.025361,            0.030239,           0.0071807,            0.008647,            0.008647,            0.008647
                  43,            0.019367,            0.020554,            0.004707,             0.51606,               0.874,             0.67343,             0.34832,            0.021185,            0.026203,            0.008512,            0.008614,            0.008614,            0.008614
                  44,             0.01912,            0.021141,           0.0044913,             0.49367,             0.91065,             0.66826,             0.36888,            0.021251,            0.026023,            0.010185,            0.008581,            0.008581,            0.008581
                  45,             0.01906,             0.02097,           0.0043506,             0.49725,             0.90166,              0.6512,             0.33946,            0.020333,            0.025345,            0.009268,            0.008548,            0.008548,            0.008548
                  46,            0.018805,            0.021185,           0.0043989,             0.48493,              0.9145,             0.61965,             0.32434,            0.019592,             0.02579,            0.010503,            0.008515,            0.008515,            0.008515
                  47,            0.019234,            0.021061,           0.0043895,             0.50985,             0.92165,              0.6741,             0.36958,            0.020874,            0.025899,            0.012089,            0.008482,            0.008482,            0.008482
                  48,            0.017687,            0.020664,           0.0042773,             0.45999,              0.8615,             0.50299,             0.20727,            0.027026,            0.029761,            0.027637,            0.008449,            0.008449,            0.008449
                  49,            0.018455,            0.020866,           0.0039979,             0.44828,              0.8595,             0.53236,             0.18654,            0.030067,            0.029825,            0.020873,            0.008416,            0.008416,            0.008416
                  50,            0.018518,            0.020587,            0.004716,             0.49358,             0.90335,             0.62306,             0.34058,            0.021081,            0.023091,            0.010254,            0.008383,            0.008383,            0.008383
                  51,            0.017584,            0.020871,           0.0044592,             0.42145,              0.8705,             0.51938,             0.27528,            0.023078,            0.024381,            0.018187,             0.00835,             0.00835,             0.00835
                  52,            0.018169,            0.020754,           0.0041834,              0.4511,               0.893,             0.51987,             0.26037,            0.022226,            0.025083,            0.014901,            0.008317,            0.008317,            0.008317
                  53,            0.018012,            0.020656,           0.0042995,             0.48908,              0.9041,             0.54795,             0.28778,             0.01991,            0.025105,            0.010641,            0.008284,            0.008284,            0.008284
                  54,             0.01806,            0.020671,           0.0042915,             0.38379,             0.77397,             0.37355,             0.13536,            0.026361,            0.031286,            0.024744,            0.008251,            0.008251,            0.008251
                  55,            0.017024,            0.020085,           0.0039492,             0.44873,             0.86725,             0.47432,             0.21481,            0.023852,            0.027783,            0.019167,            0.008218,            0.008218,            0.008218
                  56,            0.018007,            0.020453,           0.0040722,             0.49996,             0.92178,             0.62654,             0.34246,             0.01927,            0.025434,            0.014485,            0.008185,            0.008185,            0.008185
                  57,            0.018324,            0.020706,            0.003832,              0.4675,             0.90477,             0.51693,             0.25482,            0.022208,            0.025374,            0.016165,            0.008152,            0.008152,            0.008152
                  58,              0.0176,            0.020715,           0.0036762,             0.43066,             0.79646,             0.45062,             0.19304,            0.026116,            0.028997,             0.02662,            0.008119,            0.008119,            0.008119
                  59,            0.016996,            0.020217,           0.0037443,             0.42725,             0.81775,             0.41955,             0.16824,            0.025066,            0.030028,            0.022038,            0.008086,            0.008086,            0.008086
                  60,            0.016479,            0.020256,           0.0038111,             0.37432,               0.743,             0.36208,             0.13062,            0.027314,            0.030003,            0.028268,            0.008053,            0.008053,            0.008053
                  61,            0.016888,            0.019861,           0.0033721,             0.40481,             0.81864,             0.39315,             0.15151,            0.026696,            0.027646,            0.021372,             0.00802,             0.00802,             0.00802
                  62,            0.016215,            0.019929,           0.0035219,             0.40539,             0.77025,             0.39382,             0.13796,            0.027522,            0.032656,            0.031911,            0.007987,            0.007987,            0.007987
                  63,            0.016215,             0.01968,           0.0036904,             0.40755,             0.76027,             0.39524,             0.15331,            0.025722,            0.030741,             0.03049,            0.007954,            0.007954,            0.007954
                  64,            0.016484,            0.019901,           0.0036766,             0.30127,             0.67588,             0.28484,             0.10973,            0.026892,            0.030163,             0.03729,            0.007921,            0.007921,            0.007921
                  65,            0.017373,            0.020481,           0.0035758,             0.33322,             0.67719,             0.29835,             0.10547,            0.028982,             0.02986,             0.04007,            0.007888,            0.007888,            0.007888
                  66,             0.01629,             0.01994,           0.0034975,             0.43543,             0.78484,             0.44248,             0.18259,            0.026725,            0.028119,            0.031247,            0.007855,            0.007855,            0.007855
                  67,            0.016665,            0.020062,           0.0036137,               0.447,             0.83519,              0.4571,             0.19068,            0.024897,            0.028776,            0.024567,            0.007822,            0.007822,            0.007822
                  68,            0.016493,            0.019891,           0.0035032,             0.39473,             0.72175,             0.36319,             0.11149,            0.028839,            0.031982,            0.034058,            0.007789,            0.007789,            0.007789
                  69,            0.017152,            0.020184,           0.0035016,              0.4264,             0.75044,              0.3976,             0.13168,            0.027576,            0.030739,            0.031907,            0.007756,            0.007756,            0.007756
                  70,            0.016021,            0.019561,           0.0034833,             0.48818,              0.8915,             0.50725,             0.24749,            0.020944,            0.025645,            0.022696,            0.007723,            0.007723,            0.007723
                  71,            0.016199,            0.020095,           0.0034172,             0.46119,             0.79325,             0.45454,             0.19559,            0.023989,            0.028747,            0.030573,             0.00769,             0.00769,             0.00769
                  72,            0.016845,            0.019951,           0.0034371,             0.46324,             0.85257,              0.4725,             0.19108,            0.024306,            0.030758,            0.025574,            0.007657,            0.007657,            0.007657
                  73,            0.016111,            0.019617,           0.0035988,              0.4939,              0.8945,             0.54929,             0.27584,            0.020142,             0.02708,            0.017585,            0.007624,            0.007624,            0.007624
                  74,            0.016551,            0.019397,           0.0032347,             0.49735,             0.89925,             0.53999,             0.26348,            0.021426,            0.027487,            0.015236,            0.007591,            0.007591,            0.007591
                  75,            0.016189,            0.020016,           0.0035386,             0.44568,             0.77675,             0.46495,             0.18584,            0.026141,            0.031724,            0.025234,            0.007558,            0.007558,            0.007558
                  76,             0.01595,            0.020282,           0.0034949,             0.47459,             0.84789,             0.48412,             0.21643,            0.022918,            0.028195,            0.021276,            0.007525,            0.007525,            0.007525
                  77,             0.01577,            0.019573,           0.0034266,             0.48491,             0.86067,             0.50298,             0.24567,             0.02181,            0.026973,            0.020691,            0.007492,            0.007492,            0.007492
                  78,            0.016054,            0.019449,           0.0033967,              0.4728,             0.81887,             0.46879,             0.20771,            0.023288,            0.027965,            0.023989,            0.007459,            0.007459,            0.007459
                  79,            0.016273,            0.019767,            0.003365,             0.46732,              0.8386,             0.47355,             0.21184,            0.021671,              0.0274,            0.024146,            0.007426,            0.007426,            0.007426
                  80,            0.016339,             0.02007,           0.0035838,              0.4611,              0.8055,             0.44026,              0.1816,             0.02454,            0.028049,            0.026333,            0.007393,            0.007393,            0.007393
                  81,            0.015796,            0.019817,           0.0033435,             0.39583,             0.69627,             0.36016,             0.13293,            0.025675,            0.030602,            0.034819,             0.00736,             0.00736,             0.00736
                  82,            0.016382,            0.019518,           0.0033431,             0.43951,              0.7235,              0.4027,             0.15349,             0.02459,            0.030876,            0.033131,            0.007327,            0.007327,            0.007327
                  83,            0.017082,            0.020192,             0.00323,             0.45267,             0.75538,             0.43385,             0.16806,            0.024731,            0.030302,            0.030052,            0.007294,            0.007294,            0.007294
                  84,             0.01559,            0.019443,           0.0032187,             0.48203,             0.83275,             0.48596,             0.23375,            0.021379,            0.026078,             0.02318,            0.007261,            0.007261,            0.007261
                  85,            0.015975,            0.019675,           0.0031865,             0.50034,              0.9161,              0.5554,             0.29744,            0.020106,            0.024126,             0.01325,            0.007228,            0.007228,            0.007228
                  86,            0.014928,            0.019566,           0.0032622,             0.48776,               0.907,             0.51142,             0.24999,            0.021541,            0.025194,            0.013435,            0.007195,            0.007195,            0.007195
                  87,            0.015028,            0.019331,           0.0027392,             0.42989,             0.82625,             0.42684,             0.20386,            0.022946,            0.027338,             0.02249,            0.007162,            0.007162,            0.007162
                  88,            0.016008,            0.019465,           0.0034096,             0.50648,             0.90819,             0.59891,             0.34439,            0.018857,            0.023408,            0.010369,            0.007129,            0.007129,            0.007129
                  89,            0.015503,            0.019518,           0.0033573,             0.53157,              0.8508,             0.65554,             0.40097,            0.016519,            0.021962,           0.0076779,            0.007096,            0.007096,            0.007096
                  90,            0.016027,            0.019572,           0.0031754,             0.50968,             0.91277,             0.57764,             0.31396,            0.018248,            0.025273,            0.010024,            0.007063,            0.007063,            0.007063
                  91,            0.015835,            0.019544,           0.0029935,             0.46226,              0.7845,             0.43885,             0.17133,             0.02374,            0.030474,            0.026513,             0.00703,             0.00703,             0.00703
                  92,            0.015225,            0.019556,           0.0029773,             0.44515,             0.82198,             0.44151,             0.17236,            0.023101,            0.030481,            0.020711,            0.006997,            0.006997,            0.006997
                  93,            0.015308,            0.019343,           0.0031388,             0.48372,             0.89213,             0.51309,             0.25478,            0.019479,            0.026075,            0.014362,            0.006964,            0.006964,            0.006964
                  94,            0.015287,            0.019362,            0.003471,             0.48509,             0.87584,             0.47987,             0.20848,            0.022016,            0.027773,             0.01578,            0.006931,            0.006931,            0.006931
                  95,            0.016099,            0.019669,           0.0031294,             0.48468,             0.86934,             0.49813,             0.22256,            0.021826,             0.02783,            0.018079,            0.006898,            0.006898,            0.006898
                  96,            0.014864,            0.019196,           0.0029957,             0.34282,             0.68579,             0.31157,             0.11142,            0.026007,             0.03291,            0.037972,            0.006865,            0.006865,            0.006865
                  97,             0.01515,            0.019124,           0.0033438,             0.46191,             0.83882,             0.44828,             0.17794,            0.024775,             0.02924,            0.020595,            0.006832,            0.006832,            0.006832
                  98,            0.015469,            0.018898,           0.0031916,              0.5004,             0.90375,             0.56983,              0.2822,             0.02061,            0.025398,            0.010781,            0.006799,            0.006799,            0.006799
                  99,            0.015251,            0.019691,           0.0029641,             0.50273,             0.90629,             0.52649,              0.2552,            0.020637,            0.025348,            0.011875,            0.006766,            0.006766,            0.006766
                 100,            0.014897,            0.019195,           0.0030541,             0.49084,             0.86463,             0.51222,             0.25175,             0.02096,            0.025665,            0.021865,            0.006733,            0.006733,            0.006733
                 101,            0.014868,            0.019144,           0.0029722,             0.47476,             0.87525,             0.49431,             0.23558,            0.021884,            0.025374,            0.018839,              0.0067,              0.0067,              0.0067
                 102,            0.015125,            0.019356,           0.0032798,             0.61611,             0.64709,             0.68149,             0.40172,            0.017234,            0.021791,           0.0056491,            0.006667,            0.006667,            0.006667
                 103,            0.015151,            0.019641,           0.0029813,             0.60444,             0.64333,              0.6456,             0.39197,             0.01647,            0.021942,           0.0061905,            0.006634,            0.006634,            0.006634
                 104,            0.014294,             0.01857,           0.0028548,             0.55233,              0.7225,             0.59175,             0.33905,            0.017212,            0.022492,           0.0068488,            0.006601,            0.006601,            0.006601
                 105,            0.015218,            0.018824,           0.0031723,             0.58901,             0.66959,             0.59417,             0.34469,            0.016499,            0.022354,            0.006141,            0.006568,            0.006568,            0.006568
                 106,            0.014873,            0.018872,           0.0031609,             0.50051,             0.87774,             0.48195,             0.23778,             0.02035,            0.024965,            0.011172,            0.006535,            0.006535,            0.006535
