Pred_inc,Pred_PA,Real_inc,Real_PA
59.516827,99.97318,-77.2,113.03572
-45.758194,42.16948,59.4,38.57639
39.94282,-71.007835,-41.3,267.44788
59.5072,-49.959682,70.9,306.36465
27.726143,72.46999,30.3,71.09694
-59.60971,-94.43216,-60.4,260.14944
-64.357635,91.51037,-68.9,115.04569
-22.435099,-49.208286,-24.4,308.60373
74.27956,-114.3717,-87.0,167.12956
57.34367,17.753788,-70.3,16.12051
68.83364,176.64532,70.6,194.88106
18.128418,4.0903187,19.9,356.10263
-8.571874,55.06666,-7.9,63.951088
27.218567,11.005961,29.5,357.58548
-75.412476,35.961155,-87.3,26.705746
-60.97625,19.200651,-59.5,29.588972
60.48961,42.247257,78.8,0.44923297
63.89664,-62.701317,64.5,278.30823
-0.05514217,-88.14554,-3.5,253.51799
21.342188,65.28126,24.2,62.241924
10.161709,107.82285,9.1,115.41431
0.09473176,-140.06479,2.4,221.02733
-50.694798,59.026333,-48.8,82.17957
75.32389,-157.44572,-88.6,306.61105
-26.30409,147.93794,52.7,145.08879
59.07597,159.82979,58.6,166.99525
-52.636993,155.73657,-55.2,165.1719
52.824898,174.02899,50.7,174.96722
62.028233,-84.70347,82.5,242.6692
55.130665,144.72168,67.4,127.330414
60.36678,80.63646,70.3,69.54238
-5.8840947,-39.469296,-29.7,320.32602
66.01549,-105.04174,75.9,211.65132
52.035397,-117.110306,49.4,232.98965
-51.65463,21.336636,-55.6,29.997967
61.308094,-122.257774,77.2,161.35353
-40.352676,-99.26578,47.2,244.27614
71.239174,37.394146,-88.9,55.605747
62.576576,141.43445,55.6,135.09363
19.854357,-113.32521,16.9,218.9585
-22.076225,9.54019,-19.1,14.973204
-18.262936,-101.023705,-23.6,239.39519
37.79722,-123.33178,45.3,221.71953
58.401207,95.454094,67.6,81.83941
27.016447,-82.08574,29.9,262.48688
-54.555935,-25.377241,-61.0,355.16373
65.23928,-95.80787,78.8,291.57785
-78.05801,57.879475,-85.4,13.810164
28.369867,7.5129,26.7,359.4059
71.33847,46.168877,73.1,65.483604
78.95172,-102.265305,87.4,19.264582
-63.826984,115.325066,-67.5,137.27054
-44.916027,30.943026,-88.2,110.737564
72.04852,175.2984,85.7,238.60483
-49.272636,-131.91754,-47.3,220.20537
-75.877914,69.5152,78.5,76.14624
77.02038,-30.377785,78.5,346.29364
36.257915,-24.335869,33.8,334.6952
-28.614601,76.771324,-28.2,92.76523
53.428844,83.305855,44.4,67.9509
-75.11351,-37.69478,-86.4,4.418806
46.13349,-119.76231,57.2,230.46329
-61.2733,-96.873566,-62.7,274.02216
23.032793,-139.00925,23.3,215.33224
-67.635376,-72.475365,82.3,291.02472
-36.757576,118.064606,-30.5,128.80722
-45.623257,57.93942,-85.7,135.05978
62.908993,68.72263,61.5,85.28305
12.818084,107.80429,-48.1,126.35257
-61.10817,160.16318,70.3,177.56831
-66.93347,-46.672554,-74.4,333.70578
67.66358,161.02232,69.3,153.39632
58.275974,-51.43988,76.1,305.40656
62.058414,27.853716,76.1,17.937008
67.16629,-140.35596,78.6,203.98694
-65.115524,23.85503,-77.1,70.662346
-4.9886136,-121.08027,-8.9,244.27362
10.063087,145.4477,13.4,150.23134
21.434952,29.221624,27.6,34.15058
12.267672,79.7252,17.2,67.4971
18.00128,-118.37939,13.4,223.67111
44.314724,-13.017264,39.2,335.34216
-24.258581,200.43866,-26.7,216.05832
10.543158,143.80502,12.3,148.5324
58.494595,-2.4186828,56.6,355.71844
49.0751,-97.79335,52.0,249.81314
-4.2278957,182.67746,-12.0,208.38148
17.053282,201.51813,14.9,205.87582
1.9251099,37.514584,-2.8,41.042484
47.642105,-35.16274,87.5,209.11258
-27.228811,-101.19269,-32.5,252.25475
0.32306793,-143.2152,5.7,214.27853
-8.630793,108.73446,-19.3,118.617874
35.538532,166.06636,42.3,176.48349
30.041342,34.146313,31.2,34.476856
55.61225,58.921116,72.3,36.99781
-53.236256,150.03314,-49.0,158.77591
69.97883,12.3117,73.7,352.3885
79.13643,-5.641734,79.0,329.57596
-37.851387,-15.318461,-44.4,358.68082
42.93876,-64.58134,44.3,283.58603
-58.802868,-75.438194,-61.5,281.1766
-68.142136,122.104164,-74.2,125.818535
22.338743,-43.45537,28.9,308.68036
1.0861988,-53.7706,79.1,308.62888
-39.132687,43.645718,-35.8,52.890907
2.2075627,-98.068504,2.9,215.71173
6.491694,-106.3508,9.7,247.72835
-46.14602,-94.41992,-54.2,270.18683
2.775914,-8.189445,3.1,349.2568
-34.585415,-12.9516115,-33.1,353.34634
38.796116,61.41303,30.5,51.706635
-61.469532,-59.943775,-61.9,295.3218
-60.656094,71.31001,-62.9,71.92398
-77.18249,-136.05968,-80.3,192.7701
44.716175,116.25772,-44.8,135.96678
43.68061,32.367775,42.4,35.891697
15.038537,-79.966934,9.4,264.32843
18.208204,-62.805943,22.8,289.98108
46.899197,-4.0619164,49.7,344.53476
6.820087,19.26125,7.0,24.255838
51.232597,-51.8339,48.9,295.36658
-56.38592,-104.58709,-51.4,266.04208
35.871204,32.97808,24.7,28.68292
56.17843,81.26185,60.1,80.913445
-27.174437,159.93488,-24.4,160.14502
41.927864,51.19183,47.0,47.975758
-5.9166265,-3.0945122,-8.7,353.9763
15.673634,18.143253,11.1,20.380749
-28.992237,163.51718,-27.0,177.1329
61.175682,-117.61587,69.8,235.40579
22.465723,54.687786,24.5,51.716595
51.380127,158.3168,46.3,158.64297
-68.00784,100.68471,-83.3,97.18426
29.116207,-16.59198,75.1,348.154
-12.001275,-119.629196,-12.6,257.29004
78.48631,12.908022,84.8,20.707985
28.050488,-118.35757,27.0,221.45464
-53.631786,-95.45927,57.8,248.86232
-59.84755,-3.1556704,-50.4,8.235363
28.46998,-137.59332,43.0,208.80113
60.01526,94.51327,-87.2,162.80281
-37.19791,198.98401,-48.2,222.18343
-0.7481336,20.160385,0.8,18.572796
7.8976493,-69.91717,11.3,295.8119
71.49752,-6.79198,-69.9,354.63058
10.36566,109.98901,11.2,120.731514
-18.41775,-76.74655,-21.9,285.77216
-16.275906,109.40635,-23.1,123.6308
-69.291504,139.39445,-70.7,135.11688
-16.770832,-47.017673,-17.6,322.4096
2.595898,13.505727,5.6,14.295843
5.8614726,-118.13194,12.6,218.0287
31.350897,68.0783,32.7,62.39786
52.53304,-28.577152,52.5,317.35324
-54.49751,-22.483477,-51.6,357.2189
55.156246,41.004883,51.8,32.488968
37.425217,-108.79919,33.2,226.55136
-67.3337,-79.65771,-78.8,306.2653
-0.5840866,-84.96876,0.6,258.3115
-13.741901,-21.386114,-15.9,335.42578
53.846985,-92.884544,62.1,244.20084
-46.52113,101.81951,-43.8,107.51918
-3.3959832,37.9275,-6.9,43.904453
64.21725,54.65349,-74.0,83.59381
52.09947,200.66957,54.3,208.02039
-59.64692,78.45248,-75.3,103.82549
-58.155605,-49.75678,68.6,308.5344
61.296963,154.73529,54.5,157.06891
-24.609161,-36.24047,-23.6,326.92365
-12.549759,159.26854,-76.2,116.08194
-79.32564,-13.405274,72.8,343.26678
73.574646,69.31012,83.2,150.80936
-64.89632,129.69429,-60.4,157.79341
-71.2288,108.66245,87.1,209.74028
-34.34078,-89.567665,-32.2,266.1543
18.092964,204.61855,19.7,206.56313
-4.961385,199.27188,-5.8,213.41356
-41.761898,192.6477,-35.8,209.15343
32.98694,-74.24239,34.9,274.90274
57.176414,88.88502,62.6,87.325554
13.199954,172.22351,14.4,180.72417
-11.869701,90.6414,-19.6,100.67293
66.93588,-117.66654,79.4,180.40195
-0.37986588,203.2336,2.0,211.90219
-41.121746,-48.54386,-42.9,316.17484
-37.41516,157.72589,-38.5,168.6866
71.78134,-24.618258,-85.4,246.89555
-37.049625,94.677826,41.9,82.488976
42.124874,78.76964,42.9,69.35078
0.5206845,161.89125,1.1,175.64583
69.35751,-11.003363,-87.2,172.28479
50.222095,56.016693,60.6,27.189054
56.39751,29.027576,-50.8,33.24653
8.908592,-6.686934,13.4,343.2523
21.46292,-79.17849,20.1,265.40518
-35.673187,-3.37128,-33.9,4.275502
-69.53017,105.82051,-64.9,122.51702
4.457912,27.823517,2.6,28.225574
-1.4838184,177.82524,1.8,195.7212
59.248753,132.92848,-70.5,150.36464
-14.7980995,21.200876,79.4,354.17877
78.69653,92.416664,90.3,66.432205
-70.441574,-72.15766,83.2,126.10008
65.52494,-12.3785095,64.1,343.72
20.235306,9.453684,21.7,2.9201121
67.36492,48.415184,69.9,23.365185
54.861897,-133.3376,56.7,223.05748
9.589952,130.68642,5.2,139.36275
-73.5133,155.45557,-84.2,158.42143
-15.50434,140.85678,-14.6,146.28625
10.149637,57.327217,4.9,60.968014
16.446003,-111.23077,18.6,235.4362
72.24074,63.48202,-84.9,351.93375
-74.43195,-78.960724,-89.1,254.99954
-68.00437,-39.92414,85.2,307.9565
-33.037277,-94.833496,86.5,266.1704
-73.428955,94.68132,-73.1,104.14613
-49.6125,-5.8817034,-58.3,358.9562
-22.945686,181.50188,-32.6,201.36676
20.594585,-124.41038,19.6,220.24806
70.844345,-69.22751,74.9,264.7068
-6.0914392,167.78957,10.1,169.22809
-44.02474,-92.83553,-42.6,269.35455
-37.832863,127.89299,-35.1,155.26262
27.985748,88.643,31.2,82.29693
70.026344,-73.4334,-78.7,352.8421
49.9392,44.94277,54.2,44.263695
76.44995,-28.491827,80.6,300.96707
8.566795,-101.34212,12.1,246.16385
16.204134,-72.506905,22.9,278.6769
-58.32264,-3.4990475,63.4,343.80164
-29.190445,133.22676,-26.7,141.4571
64.72743,54.039444,74.1,55.392204
53.59894,160.94896,48.4,167.90617
16.62193,177.73685,23.5,175.76239
64.32262,132.18169,73.2,135.34106
-43.825703,-64.58295,-42.9,300.4839
67.94503,112.34058,87.0,48.835323
-46.503906,-40.194134,-44.1,321.06467
28.804918,-147.0671,28.8,185.44135
20.330877,-116.30606,21.2,218.58887
