               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07813,             0.05257,             0.01361,              0.5451,               0.134,            0.028084,           0.0053217,            0.064631,             0.02523,           0.0097835,              0.0706,           0.0032667,           0.0032667
                   1,            0.060602,            0.032804,           0.0081627,             0.64677,              0.2395,             0.17776,             0.04858,            0.057534,             0.02424,           0.0087716,            0.040578,           0.0065782,           0.0065782
                   2,             0.05926,            0.029699,           0.0081898,             0.66259,             0.32125,             0.21251,            0.065007,            0.067566,            0.033076,           0.0087638,            0.010534,           0.0098678,           0.0098678
                   3,            0.052863,            0.029327,           0.0078166,             0.77323,               0.378,             0.31674,             0.10166,            0.041044,            0.025303,           0.0083603,            0.009901,            0.009901,            0.009901
                   4,            0.042296,            0.028802,           0.0075897,             0.74297,               0.366,             0.43103,             0.16461,            0.037242,            0.026459,           0.0080684,            0.009901,            0.009901,            0.009901
                   5,             0.03691,            0.028341,            0.007218,             0.81344,             0.46658,             0.56293,             0.27809,            0.029755,            0.021976,            0.007915,            0.009868,            0.009868,            0.009868
                   6,            0.033849,             0.02697,           0.0074342,             0.89328,             0.42875,             0.48671,             0.26854,            0.030177,            0.020713,             0.00778,            0.009835,            0.009835,            0.009835
                   7,            0.032641,            0.024533,           0.0070906,             0.44926,                0.65,             0.56061,             0.29529,            0.031378,            0.020894,           0.0078108,            0.009802,            0.009802,            0.009802
                   8,            0.030402,            0.023725,           0.0066772,             0.27867,               0.849,             0.54547,             0.19935,            0.028803,            0.025573,           0.0079568,            0.009769,            0.009769,            0.009769
                   9,            0.029199,            0.023064,           0.0067302,             0.44883,               0.667,             0.63985,             0.37869,            0.024233,             0.02302,           0.0077853,            0.009736,            0.009736,            0.009736
                  10,            0.028417,            0.022914,           0.0061648,             0.42917,             0.86175,             0.60948,             0.37766,            0.019254,            0.022424,           0.0072037,            0.009703,            0.009703,            0.009703
                  11,            0.027499,            0.022866,           0.0054533,             0.49874,               0.589,             0.54393,             0.20489,            0.037462,            0.025722,           0.0064922,             0.00967,             0.00967,             0.00967
                  12,            0.027048,            0.022645,           0.0047445,              0.8558,             0.34049,             0.40304,             0.10804,            0.044807,            0.030339,           0.0071219,            0.009637,            0.009637,            0.009637
                  13,            0.026276,            0.022161,            0.004416,             0.22396,              0.4755,             0.27602,            0.084381,            0.040096,             0.03201,           0.0067039,            0.009604,            0.009604,            0.009604
                  14,            0.025692,            0.021587,           0.0039494,             0.49885,             0.38375,             0.33635,             0.12819,            0.039987,            0.029305,           0.0052779,            0.009571,            0.009571,            0.009571
                  15,            0.024874,            0.021255,           0.0039592,             0.89938,              0.7319,             0.89763,             0.37742,            0.027257,            0.024188,            0.004395,            0.009538,            0.009538,            0.009538
                  16,             0.02393,            0.021409,           0.0036398,             0.79929,               0.772,             0.81593,             0.34448,            0.030757,            0.024853,           0.0041878,            0.009505,            0.009505,            0.009505
                  17,            0.023612,            0.020224,           0.0032208,             0.64366,             0.64107,             0.54899,             0.16923,            0.031959,            0.028913,           0.0034244,            0.009472,            0.009472,            0.009472
                  18,            0.023115,             0.02038,           0.0025479,             0.72592,             0.69575,             0.63704,             0.15258,             0.03195,            0.031623,             0.00233,            0.009439,            0.009439,            0.009439
                  19,            0.022978,            0.020608,           0.0021609,             0.87465,             0.83925,             0.83991,             0.36952,            0.022316,            0.026432,           0.0023803,            0.009406,            0.009406,            0.009406
                  20,            0.022921,            0.020506,           0.0018565,             0.97062,             0.92594,              0.9398,             0.45128,            0.028045,            0.027412,           0.0013756,            0.009373,            0.009373,            0.009373
                  21,            0.022494,            0.020213,           0.0017274,             0.96919,             0.91455,             0.91846,             0.45077,            0.021718,            0.025423,           0.0011856,             0.00934,             0.00934,             0.00934
