               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078898,            0.052176,            0.013699,            0.013354,               0.094,           0.0077821,           0.0014419,            0.066782,            0.025847,           0.0094125,              0.0706,           0.0032667,           0.0032667
                   1,            0.061833,            0.032258,            0.008371,             0.60085,              0.1465,            0.056978,           0.0088036,            0.065666,            0.020783,           0.0081401,            0.040578,           0.0065782,           0.0065782
                   2,             0.05711,            0.032009,           0.0081844,              0.5651,             0.11975,            0.039346,           0.0074216,            0.062087,            0.026935,           0.0078936,            0.010534,           0.0098678,           0.0098678
                   3,            0.049795,             0.03101,           0.0081225,             0.57143,             0.33825,            0.085089,              0.0202,            0.053448,            0.033935,           0.0077475,            0.009901,            0.009901,            0.009901
                   4,            0.043572,            0.030293,           0.0075215,             0.72465,              0.3575,             0.39232,             0.17816,            0.048157,            0.023027,           0.0072545,            0.009901,            0.009901,            0.009901
                   5,            0.038562,            0.028609,           0.0073002,             0.33497,             0.51069,             0.29828,             0.13277,            0.036526,            0.031869,            0.007205,            0.009868,            0.009868,            0.009868
                   6,            0.035311,            0.027112,           0.0076147,             0.44363,             0.59675,             0.54553,             0.19532,            0.039293,            0.027823,           0.0069859,            0.009835,            0.009835,            0.009835
                   7,            0.033872,            0.026443,           0.0071378,             0.32863,              0.7005,             0.47308,             0.18693,             0.04135,            0.028173,           0.0069835,            0.009802,            0.009802,            0.009802
                   8,             0.03219,            0.025614,           0.0075845,             0.23765,              0.6845,             0.37183,             0.14129,            0.042231,            0.028327,           0.0069018,            0.009769,            0.009769,            0.009769
                   9,            0.030361,            0.026122,           0.0067924,             0.41719,               0.759,             0.63779,             0.35501,            0.035137,            0.023365,           0.0068784,            0.009736,            0.009736,            0.009736
                  10,            0.028486,            0.024716,           0.0070189,             0.45293,             0.79475,             0.58393,             0.33278,            0.023031,            0.027399,           0.0068447,            0.009703,            0.009703,            0.009703
                  11,            0.028784,            0.024291,           0.0070328,             0.43753,             0.86791,             0.58536,             0.25293,            0.041494,            0.025361,           0.0067845,             0.00967,             0.00967,             0.00967
                  12,            0.028308,            0.024184,           0.0065915,              0.4038,               0.727,             0.59176,              0.2929,            0.037237,            0.028023,           0.0067357,            0.009637,            0.009637,            0.009637
                  13,            0.026775,            0.023727,           0.0064377,             0.40589,             0.82775,             0.62381,             0.29458,            0.031731,            0.029794,           0.0066332,            0.009604,            0.009604,            0.009604
                  14,            0.025858,            0.023177,           0.0057389,             0.95589,             0.41975,             0.61943,             0.26334,            0.029217,            0.030563,            0.006279,            0.009571,            0.009571,            0.009571
                  15,            0.026103,            0.022856,           0.0054546,             0.41214,              0.8395,             0.60113,             0.26119,            0.036645,            0.028968,           0.0060713,            0.009538,            0.009538,            0.009538
                  16,            0.025459,            0.023223,           0.0056041,             0.94743,             0.41225,             0.57031,             0.21628,            0.042709,            0.031021,           0.0061608,            0.009505,            0.009505,            0.009505
                  17,             0.02463,            0.022853,           0.0047542,             0.80498,             0.52782,             0.69365,             0.28226,            0.031104,            0.034035,           0.0048534,            0.009472,            0.009472,            0.009472
                  18,            0.024602,            0.022509,           0.0044926,             0.77857,             0.52724,             0.67527,             0.27303,            0.028737,            0.036345,           0.0050646,            0.009439,            0.009439,            0.009439
                  19,             0.02337,            0.022288,           0.0044781,             0.77712,             0.56182,             0.68957,              0.2833,            0.032623,            0.037008,           0.0047193,            0.009406,            0.009406,            0.009406
                  20,             0.02315,            0.022085,            0.004123,             0.52629,             0.41389,             0.38115,             0.18454,            0.045166,            0.035819,           0.0039234,            0.009373,            0.009373,            0.009373
                  21,             0.02296,            0.022158,           0.0041188,             0.52845,              0.4335,             0.42549,             0.19156,            0.041024,            0.037199,           0.0036089,             0.00934,             0.00934,             0.00934
                  22,            0.023594,             0.02205,           0.0033228,             0.69156,               0.594,             0.54284,             0.18561,            0.039204,            0.031211,           0.0029143,            0.009307,            0.009307,            0.009307
                  23,            0.022557,            0.022279,           0.0031032,              0.6797,             0.70466,             0.57628,             0.22657,            0.039605,            0.030469,           0.0022096,            0.009274,            0.009274,            0.009274
                  24,            0.022213,            0.022224,            0.002915,             0.96078,             0.84707,             0.90882,             0.53213,            0.018544,            0.022237,           0.0019981,            0.009241,            0.009241,            0.009241
                  25,            0.022385,            0.021571,           0.0028329,               0.973,             0.84826,             0.89431,             0.45605,            0.024542,            0.027873,           0.0019409,            0.009208,            0.009208,            0.009208
                  26,            0.022226,            0.021745,           0.0026282,             0.88752,             0.79635,             0.82664,             0.29494,            0.028667,            0.033287,           0.0019802,            0.009175,            0.009175,            0.009175
                  27,             0.02151,            0.021253,           0.0023867,             0.90607,             0.80869,             0.88096,             0.43458,            0.022201,            0.027441,           0.0026022,            0.009142,            0.009142,            0.009142
                  28,            0.020412,            0.021127,           0.0020815,             0.82011,             0.79265,             0.81965,             0.37983,            0.029416,            0.030312,           0.0034148,            0.009109,            0.009109,            0.009109
                  29,            0.020469,            0.021585,            0.002184,             0.87031,             0.80437,             0.87402,             0.42612,            0.030256,            0.028491,           0.0029202,            0.009076,            0.009076,            0.009076
                  30,             0.02085,            0.021034,           0.0022373,             0.45324,              0.4302,             0.35545,            0.089186,             0.04472,            0.036712,           0.0049679,            0.009043,            0.009043,            0.009043
                  31,            0.020406,            0.020773,           0.0020632,             0.86734,               0.777,             0.80149,             0.31715,            0.035406,            0.030287,           0.0020774,             0.00901,             0.00901,             0.00901
                  32,            0.019129,            0.020435,            0.001989,             0.94633,             0.85791,             0.91755,             0.54457,            0.019024,            0.024078,           0.0016309,            0.008977,            0.008977,            0.008977
                  33,            0.021144,            0.021365,           0.0018859,             0.86233,             0.80725,             0.87889,             0.44263,            0.028305,             0.02704,           0.0025798,            0.008944,            0.008944,            0.008944
                  34,            0.019999,            0.021191,           0.0018021,             0.76736,             0.72947,             0.84236,             0.38139,            0.032059,            0.031343,           0.0045444,            0.008911,            0.008911,            0.008911
                  35,            0.019819,            0.021449,           0.0017383,             0.75793,             0.76518,             0.83646,             0.31751,            0.031431,            0.034803,           0.0043189,            0.008878,            0.008878,            0.008878
                  36,            0.020326,            0.020992,            0.001799,              0.7048,             0.69442,             0.75716,             0.29891,            0.033064,            0.033112,           0.0045291,            0.008845,            0.008845,            0.008845
                  37,             0.01919,            0.020723,           0.0018326,             0.86613,             0.76663,             0.90395,             0.47946,            0.027199,             0.02907,           0.0042424,            0.008812,            0.008812,            0.008812
                  38,            0.019299,            0.020915,           0.0016042,              0.8539,             0.76259,             0.80774,             0.30449,              0.0287,            0.035064,           0.0026649,            0.008779,            0.008779,            0.008779
                  39,            0.018933,            0.020494,            0.001944,             0.71953,             0.59358,             0.80539,             0.38709,            0.026718,            0.036212,           0.0087258,            0.008746,            0.008746,            0.008746
                  40,            0.018981,            0.020811,             0.00213,             0.80535,             0.71437,             0.64902,             0.15864,            0.030744,             0.03549,           0.0018874,            0.008713,            0.008713,            0.008713
                  41,            0.019993,            0.021065,            0.001917,             0.79093,               0.732,             0.72989,             0.26598,            0.030305,            0.034598,            0.002718,             0.00868,             0.00868,             0.00868
                  42,            0.018108,            0.020598,           0.0015119,             0.87531,             0.79266,             0.79212,             0.26657,            0.028508,             0.03326,           0.0015356,            0.008647,            0.008647,            0.008647
                  43,              0.0181,            0.020079,           0.0017394,             0.71137,             0.62157,             0.67137,             0.25255,            0.032898,            0.035566,           0.0047309,            0.008614,            0.008614,            0.008614
                  44,            0.017709,             0.01969,            0.001575,             0.67327,             0.61914,              0.6583,             0.22952,            0.035074,            0.036482,           0.0064658,            0.008581,            0.008581,            0.008581
                  45,            0.017901,            0.020265,           0.0015293,             0.93723,             0.86241,             0.89638,              0.4527,            0.022142,            0.024655,           0.0013822,            0.008548,            0.008548,            0.008548
                  46,            0.017493,            0.020083,           0.0018407,             0.87306,             0.78559,             0.78187,             0.29896,            0.026586,            0.033548,           0.0020853,            0.008515,            0.008515,            0.008515
                  47,            0.018376,            0.020368,           0.0015409,             0.83212,             0.77038,             0.85372,             0.39473,            0.030401,            0.031818,           0.0031833,            0.008482,            0.008482,            0.008482
                  48,            0.017208,            0.020293,           0.0015357,             0.90358,             0.78964,             0.82777,             0.29452,            0.026372,            0.034065,           0.0019511,            0.008449,            0.008449,            0.008449
                  49,            0.018277,            0.020711,           0.0014106,             0.77435,             0.68225,             0.72302,             0.22287,             0.03309,            0.035233,           0.0037661,            0.008416,            0.008416,            0.008416
                  50,            0.017685,            0.019776,           0.0015468,             0.92488,             0.82545,             0.87345,             0.41208,            0.023678,            0.026624,           0.0016736,            0.008383,            0.008383,            0.008383
                  51,            0.017204,            0.020265,           0.0014113,             0.91462,             0.82667,             0.86206,             0.40466,            0.024434,            0.031489,           0.0015665,             0.00835,             0.00835,             0.00835
                  52,            0.016865,            0.019328,           0.0014211,             0.53896,             0.61487,             0.65543,             0.21098,            0.027949,             0.03531,           0.0074038,            0.008317,            0.008317,            0.008317
                  53,            0.017304,            0.020134,           0.0013511,             0.46215,             0.58362,             0.51231,             0.12577,            0.034447,             0.03615,           0.0091274,            0.008284,            0.008284,            0.008284
                  54,            0.016982,            0.019774,           0.0017305,             0.84888,             0.75439,             0.86589,             0.39835,            0.025603,            0.030826,            0.003733,            0.008251,            0.008251,            0.008251
                  55,            0.017492,            0.019568,           0.0012476,              0.8061,               0.723,             0.81596,             0.35852,            0.025375,             0.03269,           0.0037358,            0.008218,            0.008218,            0.008218
                  56,            0.016447,            0.019249,           0.0014198,             0.75693,               0.669,             0.76392,             0.28656,            0.028562,            0.035617,           0.0045157,            0.008185,            0.008185,            0.008185
                  57,            0.017251,             0.02026,           0.0013231,             0.71535,             0.54257,             0.66042,             0.21074,            0.037695,            0.035696,           0.0081334,            0.008152,            0.008152,            0.008152
                  58,            0.016617,            0.019959,           0.0014099,             0.87606,             0.80863,             0.81367,             0.28742,            0.025091,            0.033967,           0.0014526,            0.008119,            0.008119,            0.008119
                  59,             0.01585,            0.019297,           0.0014656,             0.86106,             0.75277,             0.82321,             0.37704,            0.025455,            0.030806,           0.0027876,            0.008086,            0.008086,            0.008086
                  60,            0.015325,            0.019446,           0.0013502,              0.8187,             0.53753,             0.66387,             0.27121,            0.035823,            0.034822,           0.0097268,            0.008053,            0.008053,            0.008053
                  61,            0.016286,            0.019372,           0.0013344,             0.63929,             0.57825,             0.63133,             0.21762,            0.030563,            0.037225,           0.0061999,             0.00802,             0.00802,             0.00802
                  62,            0.015491,            0.019176,           0.0012752,             0.84872,              0.7585,             0.80081,              0.2991,            0.024447,            0.034607,           0.0022749,            0.007987,            0.007987,            0.007987
                  63,            0.016369,            0.019484,           0.0012024,             0.85357,              0.7274,             0.82151,             0.36682,            0.028437,            0.035125,           0.0033514,            0.007954,            0.007954,            0.007954
                  64,            0.015128,            0.018598,           0.0012962,             0.95255,             0.83358,             0.88368,             0.44689,            0.021226,             0.03237,           0.0014759,            0.007921,            0.007921,            0.007921
                  65,            0.015858,            0.019545,           0.0011626,             0.78495,             0.68815,             0.81328,             0.37356,            0.028791,            0.038059,           0.0054364,            0.007888,            0.007888,            0.007888
                  66,            0.015663,            0.019447,           0.0012005,             0.93026,             0.81809,             0.88501,             0.44632,            0.026916,            0.031329,           0.0021017,            0.007855,            0.007855,            0.007855
                  67,            0.015684,            0.019634,           0.0011122,             0.81778,             0.67817,             0.80931,             0.39853,            0.028657,            0.033066,           0.0047248,            0.007822,            0.007822,            0.007822
                  68,            0.014899,            0.018823,           0.0010508,             0.92276,             0.80248,             0.88413,             0.43374,            0.023146,            0.029789,           0.0022064,            0.007789,            0.007789,            0.007789
                  69,            0.015728,            0.018893,           0.0010668,             0.86743,             0.71425,             0.79434,             0.28066,            0.027612,            0.036762,           0.0032194,            0.007756,            0.007756,            0.007756
                  70,            0.015233,            0.019015,           0.0010734,              0.8727,              0.7178,             0.80926,             0.34628,            0.026088,            0.036968,           0.0030171,            0.007723,            0.007723,            0.007723
                  71,            0.015627,            0.019506,           0.0012415,             0.84892,             0.74125,             0.77718,             0.31121,            0.031073,            0.035134,           0.0022007,             0.00769,             0.00769,             0.00769
                  72,            0.015375,            0.018974,           0.0011114,             0.76847,             0.66119,             0.74713,             0.28072,            0.027319,            0.037775,           0.0043732,            0.007657,            0.007657,            0.007657
                  73,            0.014927,            0.018698,           0.0010793,             0.81102,             0.64325,             0.73387,             0.30879,            0.030957,            0.037577,           0.0053146,            0.007624,            0.007624,            0.007624
                  74,             0.01467,            0.018339,           0.0011879,             0.73825,             0.54153,             0.61812,             0.22012,            0.032215,            0.039379,           0.0065268,            0.007591,            0.007591,            0.007591
                  75,            0.014855,            0.018919,           0.0010322,             0.78303,             0.61328,              0.6791,             0.25666,            0.032752,            0.039282,           0.0046379,            0.007558,            0.007558,            0.007558
                  76,            0.014603,            0.018893,           0.0011166,             0.77106,               0.695,             0.80461,             0.37593,            0.031048,            0.037356,           0.0044345,            0.007525,            0.007525,            0.007525
                  77,             0.01548,            0.019444,           0.0010505,             0.81217,             0.72807,             0.82876,             0.43094,            0.026858,            0.033066,           0.0038442,            0.007492,            0.007492,            0.007492
                  78,            0.014823,             0.01904,           0.0010549,             0.86502,             0.72163,             0.83957,             0.42193,            0.026072,            0.037405,           0.0039437,            0.007459,            0.007459,            0.007459
                  79,            0.015755,            0.019134,           0.0012299,             0.93402,              0.8459,             0.90668,             0.47169,            0.021666,            0.030595,           0.0015722,            0.007426,            0.007426,            0.007426
                  80,            0.014401,            0.018444,           0.0011019,             0.95205,             0.85811,             0.91116,             0.53669,            0.018519,            0.026795,           0.0011944,            0.007393,            0.007393,            0.007393
                  81,            0.015405,             0.01962,           0.0011291,             0.88156,             0.77438,             0.87152,             0.46879,            0.025146,            0.028619,           0.0028516,             0.00736,             0.00736,             0.00736
                  82,            0.014568,            0.018954,           0.0011171,              0.8769,             0.74734,             0.86658,              0.4313,            0.026969,            0.031618,           0.0036577,            0.007327,            0.007327,            0.007327
                  83,            0.015921,            0.019309,           0.0011235,             0.90367,             0.79194,             0.86793,             0.42663,            0.026383,            0.030896,           0.0024024,            0.007294,            0.007294,            0.007294
                  84,            0.014995,            0.018497,          0.00091225,             0.84851,             0.68445,             0.81413,             0.36021,            0.026501,            0.035983,           0.0046101,            0.007261,            0.007261,            0.007261
                  85,            0.014965,            0.019013,             0.00097,             0.88835,             0.83291,             0.90835,             0.51307,            0.021842,            0.029431,           0.0023518,            0.007228,            0.007228,            0.007228
                  86,            0.013881,            0.018401,           0.0010532,             0.94267,             0.82389,             0.88346,             0.42779,            0.023527,            0.031398,           0.0014859,            0.007195,            0.007195,            0.007195
