               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076449,            0.054299,            0.013303,             0.57264,               0.159,            0.054645,           0.0097041,            0.058662,            0.027045,           0.0085772,              0.0706,           0.0032667,           0.0032667
                   1,            0.059664,              0.0327,           0.0080567,             0.64783,              0.3665,             0.22147,             0.06871,            0.057728,            0.025176,           0.0077959,            0.040578,           0.0065782,           0.0065782
                   2,            0.054866,            0.031001,           0.0082813,             0.64123,             0.22704,             0.16914,            0.034537,            0.048765,            0.025152,           0.0074816,            0.010534,           0.0098678,           0.0098678
                   3,            0.055297,            0.024265,           0.0079496,             0.76912,             0.35325,             0.29985,            0.079562,            0.054254,             0.01771,           0.0072455,            0.009901,            0.009901,            0.009901
                   4,            0.041995,            0.031454,           0.0076794,             0.91645,              0.4415,              0.5906,              0.2095,            0.031879,            0.022451,           0.0071036,            0.009901,            0.009901,            0.009901
                   5,            0.037824,            0.027546,           0.0069295,             0.23205,               0.717,             0.48569,             0.18405,            0.040061,            0.025328,           0.0069201,            0.009868,            0.009868,            0.009868
                   6,            0.033763,            0.024282,           0.0072722,             0.50612,               0.572,             0.48476,             0.21515,            0.028879,            0.019264,            0.006859,            0.009835,            0.009835,            0.009835
                   7,            0.030971,            0.023171,           0.0072158,                0.58,             0.64925,             0.66755,             0.26339,            0.038614,            0.020758,           0.0065227,            0.009802,            0.009802,            0.009802
                   8,            0.029858,            0.021359,           0.0067504,             0.74193,              0.6275,             0.67501,             0.34447,            0.031511,            0.020968,           0.0063121,            0.009769,            0.009769,            0.009769
                   9,            0.027811,            0.021619,           0.0065175,             0.66204,             0.64225,             0.64119,             0.37413,            0.023423,            0.016416,           0.0063426,            0.009736,            0.009736,            0.009736
                  10,            0.028314,            0.021122,           0.0058979,             0.56315,                0.68,             0.60763,             0.36823,            0.025183,            0.018634,           0.0060231,            0.009703,            0.009703,            0.009703
                  11,            0.027258,            0.020972,           0.0055091,             0.63452,             0.68725,             0.71789,             0.39962,            0.027497,            0.017233,           0.0053616,             0.00967,             0.00967,             0.00967
                  12,             0.02692,            0.020267,           0.0048244,             0.77748,              0.6995,             0.72973,             0.36612,            0.028399,             0.01902,           0.0043544,            0.009637,            0.009637,            0.009637
                  13,            0.026149,            0.019635,           0.0045255,             0.92307,                0.66,             0.77292,             0.49743,            0.024654,             0.01647,           0.0040843,            0.009604,            0.009604,            0.009604
                  14,            0.024787,            0.018795,           0.0041602,             0.92925,             0.69271,             0.83733,             0.51661,            0.022558,            0.016498,           0.0038393,            0.009571,            0.009571,            0.009571
                  15,            0.025449,            0.019659,           0.0038468,             0.92718,             0.80168,             0.89041,             0.52306,            0.024973,            0.016063,           0.0034501,            0.009538,            0.009538,            0.009538
                  16,            0.024131,            0.018887,            0.003637,             0.94139,             0.86709,             0.93408,             0.58211,            0.023808,             0.01726,           0.0030654,            0.009505,            0.009505,            0.009505
                  17,            0.023032,            0.018689,           0.0031426,             0.91079,             0.90861,              0.9516,             0.55653,            0.020409,            0.019665,           0.0024596,            0.009472,            0.009472,            0.009472
                  18,            0.022395,            0.018343,           0.0029797,             0.92897,             0.90325,             0.93893,             0.41182,            0.030962,            0.023891,           0.0019683,            0.009439,            0.009439,            0.009439
                  19,            0.023012,            0.018178,           0.0020296,             0.98982,             0.95103,             0.96797,              0.5636,            0.022675,            0.020319,           0.0014294,            0.009406,            0.009406,            0.009406
                  20,             0.02193,            0.017844,           0.0017891,             0.97438,             0.93599,             0.95441,             0.45322,            0.026287,            0.020214,           0.0012251,            0.009373,            0.009373,            0.009373
                  21,            0.022585,            0.017852,           0.0017486,             0.99694,             0.96258,             0.96755,              0.7035,            0.018088,            0.015444,           0.0011389,             0.00934,             0.00934,             0.00934
                  22,            0.021418,            0.017538,           0.0014036,             0.99668,             0.96364,             0.97239,              0.6359,            0.018613,            0.018728,           0.0011403,            0.009307,            0.009307,            0.009307
                  23,            0.021225,            0.018115,           0.0012927,             0.98747,             0.95547,             0.96625,             0.53719,            0.020565,            0.019821,           0.0010337,            0.009274,            0.009274,            0.009274
                  24,            0.020896,            0.017091,           0.0012372,             0.99552,             0.96627,             0.97348,              0.6507,            0.015826,            0.015721,           0.0010028,            0.009241,            0.009241,            0.009241
                  25,             0.02063,            0.017063,           0.0011845,             0.99243,             0.95954,             0.97171,             0.64122,            0.017884,            0.017452,          0.00099624,            0.009208,            0.009208,            0.009208
                  26,            0.020157,            0.017488,           0.0011869,             0.98935,             0.96134,             0.96921,              0.6627,            0.018178,            0.018672,          0.00097891,            0.009175,            0.009175,            0.009175
                  27,            0.019593,            0.016752,           0.0011171,             0.99042,             0.96644,             0.96921,             0.68897,            0.014234,            0.018548,           0.0010096,            0.009142,            0.009142,            0.009142
                  28,            0.018686,            0.016164,           0.0013408,             0.98933,             0.96193,               0.968,              0.7019,            0.013635,            0.015397,          0.00090675,            0.009109,            0.009109,            0.009109
                  29,            0.019315,            0.017012,             0.00115,             0.98698,             0.96526,              0.9703,             0.63561,            0.018612,            0.018601,          0.00094392,            0.009076,            0.009076,            0.009076
                  30,            0.019624,            0.016595,           0.0011363,             0.99827,               0.959,             0.97345,             0.67071,            0.015863,            0.015972,          0.00089117,            0.009043,            0.009043,            0.009043
                  31,            0.019249,            0.017054,           0.0011304,             0.98529,             0.95892,             0.96677,             0.54296,            0.022841,            0.021783,          0.00082678,             0.00901,             0.00901,             0.00901
