Pred_inc,Pred_PA,Real_inc,Real_PA
-60.483173,74.07746,-77.2,86.04318
3.3870063,30.198502,59.4,27.130436
16.864288,0.9786405,-41.3,11.459832
52.479576,-62.232906,70.9,292.2048
37.362625,-72.6114,30.3,278.63403
-60.571472,-16.043839,-60.4,335.48026
-67.18039,128.39427,-68.9,154.79282
-17.119379,-63.927315,-24.4,295.26453
-65.573845,20.849514,-87.0,335.13083
65.08615,160.40656,-70.3,177.96599
53.761124,165.7975,70.6,186.37436
18.434761,29.303148,19.9,33.862656
-13.988045,172.74402,-7.9,160.37181
25.468649,-132.62622,29.5,230.84923
72.51357,-145.71451,-87.3,185.19864
-52.596615,32.47092,-59.5,57.00452
66.31351,121.04226,78.8,115.610756
54.579414,75.17154,64.5,62.841763
4.8725657,27.268858,-3.5,25.398268
21.004555,5.6748405,24.2,3.936436
-6.0631394,91.77529,9.1,99.87779
2.3268483,97.48308,2.4,133.29895
-56.41992,28.407864,-48.8,36.57694
69.04892,-18.390306,-88.6,105.222855
51.79137,95.50781,52.7,96.36009
-45.467636,-97.36162,58.6,256.04562
-48.95856,-151.56155,-55.2,202.8019
42.14836,-62.75352,50.7,286.3664
60.41319,-20.253714,82.5,321.36417
60.655827,140.99954,67.4,102.721504
63.28108,-111.67363,70.3,215.91913
-30.609756,93.679665,-29.7,109.54907
53.85156,-151.57846,75.9,177.55661
49.853535,160.77861,49.4,167.44044
-46.914066,166.11708,-55.6,181.13959
-63.05321,26.811983,77.2,9.723186
44.4268,49.363773,47.2,38.92257
-14.735682,-26.451933,-88.9,345.4584
58.941666,67.19675,55.6,62.750214
9.5961275,48.486633,16.9,51.505405
3.5503073,164.3899,-19.1,164.27309
-21.923355,-7.1528625,-23.6,349.16235
42.789776,141.42287,45.3,150.61128
65.96973,188.90239,67.6,177.61829
25.06509,-95.54862,29.9,252.47414
-59.664623,-36.31382,-61.0,337.67072
-66.88453,100.96599,78.8,145.0978
-55.49226,-26.899233,-85.4,296.22238
31.184002,-104.33225,26.7,246.39688
-55.73752,-100.08102,73.1,268.91785
77.69535,76.25848,87.4,151.11967
-61.219776,116.96238,-67.5,133.45634
-57.350403,83.1616,-88.2,94.11179
70.8949,-40.496246,85.7,62.482723
-39.883038,-13.84682,-47.3,7.47996
-72.39167,114.21912,78.5,111.07541
68.14282,110.273026,78.5,123.690735
31.034515,-120.318,33.8,223.74011
-30.529938,30.186815,-28.2,42.811256
56.85622,-1.5195494,44.4,346.72925
-73.01816,48.421814,-86.4,107.432236
45.30798,56.708534,57.2,62.079597
-62.92512,-1.3624372,-62.7,22.749014
20.942799,150.23479,23.3,159.25009
68.78131,-115.14857,82.3,224.40733
-24.34097,-69.48385,-30.5,286.8838
61.22858,-137.87828,-85.7,248.45113
-58.524536,-15.036808,61.5,339.28235
30.118067,60.039368,-48.1,83.71836
67.92884,-14.37617,70.3,354.54483
-66.79318,-3.894414,-74.4,15.498078
54.89199,-108.89632,69.3,234.33847
32.938187,41.527542,76.1,6.2424326
-67.02929,-88.686935,76.1,236.51616
59.45613,34.35659,78.6,33.4461
-69.6175,-120.21446,-77.1,227.28278
0.10017494,-27.37072,-8.9,327.5358
11.015171,112.25709,13.4,126.968315
26.976978,-32.440163,27.6,321.04868
12.031772,123.864784,17.2,125.874596
16.552427,-124.38197,13.4,226.26285
31.6224,-137.94527,39.2,203.40915
-23.63685,69.94804,-26.7,87.98942
12.42236,-102.45755,12.3,234.04224
50.744415,48.00631,56.6,58.960983
60.932407,109.28285,52.0,103.487915
-0.8707293,-141.10262,-12.0,201.47545
24.202045,-111.89899,14.9,241.3309
-26.16401,86.47191,-2.8,107.89563
69.92364,105.67042,87.5,248.40846
-27.648876,-111.282555,-32.5,252.99303
-6.4150853,-151.90587,5.7,201.28181
-1.8397012,22.916302,-19.3,32.19659
-44.379265,-48.090366,42.3,288.57794
25.037174,46.88825,31.2,41.42822
62.95576,-36.71543,72.3,277.57062
-42.821697,-122.57683,-49.0,231.17459
66.794876,-90.66153,73.7,239.37244
72.0688,102.14205,79.0,76.4015
-46.762157,181.95996,-44.4,195.14062
48.828503,-174.81201,44.3,179.75278
-62.201817,-88.628395,-61.5,268.79575
-61.575592,-102.84761,-74.2,225.7683
26.299355,-49.114178,28.9,308.00912
-61.207115,-53.61477,79.1,299.62964
-40.272266,14.198332,-35.8,20.241552
-1.2654353,-150.2982,2.9,208.65086
2.882275,-87.608055,9.7,263.15054
-52.973526,131.21129,-54.2,146.86325
3.2026956,166.56927,3.1,167.7591
-29.116665,95.923584,-33.1,116.461945
22.729073,2.3028893,30.5,357.5506
-57.74774,-108.12365,-61.9,251.06668
-50.53541,125.570244,-62.9,158.12042
-72.684395,-98.63405,-80.3,235.21375
-40.556255,-95.8129,-44.8,265.5513
43.056732,-128.65729,42.4,219.53204
12.557867,79.32333,9.4,87.02673
22.569153,45.879765,22.8,45.79865
51.027058,51.755417,49.7,47.227303
6.6730742,134.1139,7.0,139.33066
42.734932,54.06234,48.9,55.728123
-54.06676,128.73279,-51.4,174.81978
16.500566,5.8510394,24.7,6.139478
-48.967037,-116.11283,60.1,229.44026
-19.715946,-5.702403,-24.4,351.69513
51.049007,74.25726,47.0,73.891754
-8.551073,72.49885,-8.7,66.67262
20.626984,88.03064,11.1,95.077095
-25.74339,129.23326,-27.0,133.15472
60.750633,-94.4332,69.8,265.19196
20.252457,5.8345637,24.5,5.786027
51.04494,-70.89767,46.3,268.37445
65.79363,-115.45843,-83.3,232.89317
17.80966,77.182335,75.1,95.488266
-12.446346,-123.36724,-12.6,226.37836
82.80517,-58.260666,84.8,326.13202
-29.210798,-72.49454,27.0,267.71164
57.748497,-57.605186,57.8,282.71442
-45.810505,80.249374,-50.4,101.572586
42.048664,-39.13424,43.0,305.42108
60.836727,165.41127,-87.2,259.9458
49.615177,-46.41308,-48.2,310.56473
2.0121317,45.10662,0.8,46.87506
11.291816,150.29326,11.3,169.05586
59.54444,69.32098,-69.9,75.04697
-5.3905387,-58.25184,11.2,300.9046
-15.280092,64.70902,-21.9,74.82706
-20.530401,-0.32118946,-23.1,11.897494
57.977905,160.00284,-70.7,167.5142
-14.880553,81.616425,-17.6,93.76041
1.8905896,-113.29657,5.6,247.42737
12.026032,93.69299,12.6,98.20353
33.703274,-48.319454,32.7,304.68246
50.38465,164.03244,52.5,158.8578
-63.21004,105.31291,-51.6,129.35175
55.44438,74.14867,51.8,71.41306
31.752768,-11.87574,33.2,332.18164
-74.6555,179.80663,-78.8,227.69536
3.2536693,-92.41529,0.6,259.95493
-10.31055,167.5756,-15.9,163.75511
58.039986,144.08789,62.1,142.55598
-46.429066,167.55579,-43.8,177.0772
-10.475129,-6.8395452,-6.9,359.19843
76.154686,140.68028,-74.0,153.75725
-44.036167,-140.59901,54.3,217.68132
60.314667,52.40808,-75.3,59.57914
-62.828857,-31.7243,68.6,324.5957
-8.425762,127.837585,54.5,136.83601
-36.032974,-19.351295,-23.6,327.72244
69.49932,111.18153,-76.2,76.512146
-70.402405,-152.98302,72.8,189.17326
71.620346,67.80756,83.2,75.10942
-65.63089,146.12746,-60.4,174.0766
-68.40596,59.04337,87.1,32.7128
-32.890896,48.3172,-32.2,53.64681
21.212362,-38.809895,19.7,309.55658
-1.7031624,115.15665,-5.8,97.39775
-39.66137,77.42796,-35.8,87.570045
-3.85532,118.26065,34.9,115.382614
56.420624,-148.60364,62.6,201.15588
11.7067585,52.688946,14.4,57.87893
-26.364733,123.36334,-19.6,129.72626
60.040497,115.551956,79.4,117.67235
0.47505766,56.750286,2.0,277.41153
-36.881718,2.7811,-42.9,11.774954
-18.573002,152.58551,-38.5,165.04683
64.17881,106.20854,-85.4,72.5365
22.815298,149.94644,41.9,140.18837
37.420727,-131.35487,42.9,203.9007
1.7201378,-75.66731,1.1,251.17368
70.03088,61.072186,-87.2,87.95894
-56.68453,106.891846,60.6,69.824066
-40.8337,-21.314873,-50.8,330.22293
13.382785,14.170022,13.4,13.681629
20.257023,-38.203846,20.1,317.94968
-31.026075,-57.03308,-33.9,303.40253
-58.901543,76.0729,-64.9,63.73022
-0.1035276,-47.4423,2.6,295.48077
-5.221972,-0.23854013,1.8,12.522819
-60.104538,-19.355637,-70.5,354.28226
60.54473,-34.232582,79.4,256.23206
76.83774,-70.330185,90.3,229.74591
67.687485,-141.97447,83.2,103.98061
55.00996,-107.66411,64.1,241.35052
19.334578,-53.797928,21.7,292.88055
60.27777,-106.61214,69.9,212.71803
54.39893,-155.60553,56.7,189.72678
1.1782514,98.369804,5.2,121.94916
-80.43696,132.85793,-84.2,134.6678
-16.4306,132.70618,-14.6,145.10855
2.1040392,133.77444,4.9,143.16522
17.157,41.4891,18.6,54.390823
-71.61578,-119.873375,-84.9,143.00221
70.86132,-30.290516,-89.1,13.025582
65.76388,-5.1369505,85.2,347.13348
-60.577484,-122.23152,86.5,241.52878
-55.15723,106.47244,-73.1,131.89117
-48.88169,-125.151085,-58.3,230.42644
-28.962418,-53.977585,-32.6,295.68283
16.032152,6.6979685,19.6,15.493689
57.667183,26.473087,74.9,6.4930587
16.193638,32.772835,10.1,36.38607
-39.766785,143.45045,-42.6,167.01765
-33.4973,-89.94761,-35.1,255.14343
26.80086,160.85292,31.2,153.23514
73.51812,89.58672,-78.7,328.76065
-47.61355,-40.82517,54.2,291.3807
69.4476,-159.23257,80.6,163.3594
-15.889314,102.11114,12.1,116.02366
13.0085335,-4.3067117,22.9,356.97403
59.02011,61.653458,63.4,56.21617
3.8270304,18.020655,-26.7,21.639515
65.149574,-62.56127,74.1,262.48843
49.21599,-12.313021,48.4,337.52753
20.525736,148.90742,23.5,182.73413
33.2132,-67.29414,73.2,278.60556
-40.911083,-104.066124,-42.9,255.08534
67.57281,-112.83176,87.0,158.4093
-38.058044,-89.51735,-44.1,270.5669
21.303282,169.69226,28.8,166.18056
18.69101,12.591399,21.2,10.431852
-14.917798,58.146805,-17.3,62.606014
-39.590298,-56.44217,-52.4,306.642
25.586258,103.33105,34.0,111.02296
66.03149,65.68315,70.6,51.146957
-34.577778,-157.64151,-29.4,203.50539
61.27098,-102.98538,71.1,241.7808
64.751144,-44.083694,73.1,288.0941
63.540504,60.458282,-89.6,319.31152
-48.101074,142.73672,-40.1,183.46576
60.031242,-21.018566,-83.4,38.11632
62.139786,-104.62404,64.3,244.55629
-21.195871,165.62178,-14.4,173.31662
0.11199472,-152.73657,3.5,204.77313
-20.553524,-158.01746,-10.4,197.4375
-41.650574,-31.791042,-39.9,330.20764
-54.67507,-139.57988,-62.5,211.09227
66.09299,77.9216,-78.1,83.42677
44.374756,-69.76688,48.6,274.78848
58.566517,-66.07543,74.6,317.26645
-51.853783,49.51676,-62.3,67.057655
-22.273766,-99.24565,2.5,253.1283
-6.1489363,-3.9268045,-19.9,0.77430516
-13.564718,-73.13092,-7.1,291.7117
-66.843956,-68.14773,-64.4,300.42374
-46.298748,-126.37374,-54.1,245.33737
72.579285,31.01353,77.0,47.982693
-56.047432,130.2344,-61.6,152.23166
65.71309,-60.826965,71.0,274.21115
-69.165344,-20.689222,-82.9,104.76655
-45.712624,-157.60321,-54.1,187.172
-8.480524,154.06839,20.7,170.95526
11.737836,162.6212,17.9,154.94395
-35.066944,103.21175,52.8,104.94083
67.98311,78.81484,74.0,59.09655
30.863914,124.1646,30.3,115.0595
-60.744164,-23.474258,-59.0,6.594691
-0.8315704,-183.33516,-5.5,169.77184
47.58723,124.5986,47.7,115.2437
-5.567676,-26.309668,-13.2,323.02567
-45.33271,-112.82508,-46.2,244.64801
-49.224064,-86.807526,-55.6,260.6044
-11.191838,-117.33283,-12.5,239.24487
-12.583337,138.3949,-11.4,149.0453
-58.91823,4.721951,-42.7,21.712353
-51.559162,-37.63384,-51.5,330.79224
-71.94767,-119.61939,72.4,212.85744
10.304848,-102.65547,9.5,249.55135
-63.724506,120.67749,-80.3,139.64406
40.54358,50.866947,59.7,48.439987
-25.082668,-15.526467,-30.8,340.5003
-68.25722,-118.56712,89.9,112.022865
33.59512,-69.22143,27.9,275.56067
67.55902,157.4318,-76.7,180.9806
15.904277,-118.383286,15.8,185.03197
68.64274,-86.45016,-75.3,300.72986
72.84033,44.91295,88.8,45.180637
-62.80945,-111.41463,-67.7,255.80739
37.806786,177.20535,37.0,165.95866
-74.69913,-52.44871,-86.3,234.0726
25.526508,-60.37687,30.3,306.10077
-37.69379,-52.775833,-35.7,311.27533
47.890606,21.782227,48.1,19.119173
66.93322,18.945202,74.4,5.5615597
11.000231,94.01052,26.9,99.64277
36.887688,102.80627,40.3,100.75965
-26.012512,-58.15477,-33.3,305.16495
26.862219,12.682475,37.0,350.41675
-61.79841,10.609395,-58.5,31.042595
-38.693203,25.045977,-38.8,13.144987
28.205837,-58.282734,26.1,293.26236
21.497068,-135.95976,14.3,214.11053
61.928165,50.695923,-88.3,82.22938
-46.5917,-136.4037,-43.3,231.85901
-52.410126,-138.58176,-58.5,245.17172
33.47965,-45.49253,38.5,310.70184
46.593586,61.314434,43.8,54.67533
36.708607,1.2876034,41.9,2.334961
17.745358,61.990936,78.0,32.410675
-7.1408067,26.716297,89.4,77.044205
10.562769,169.05939,23.5,177.09119
