               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063108,            0.041919,            0.010903,             0.74892,             0.33854,             0.28318,            0.074564,            0.042398,            0.025364,           0.0082679,              0.0701,           0.0033222,           0.0033222
                   1,               0.047,            0.030099,           0.0079502,             0.80713,             0.37458,             0.33795,            0.075479,            0.048441,            0.022223,           0.0079032,            0.040078,           0.0066336,           0.0066336
                   2,            0.041857,            0.027615,           0.0075539,             0.47935,             0.64292,             0.57449,             0.24804,            0.035623,            0.022909,           0.0076809,            0.010034,            0.009923,            0.009923
                   3,            0.036125,            0.025584,           0.0075179,             0.28062,             0.87021,              0.5687,             0.25378,            0.036288,            0.025303,           0.0074353,            0.009901,            0.009901,            0.009901
                   4,            0.030351,            0.023857,           0.0074063,             0.42863,             0.92896,             0.65972,              0.3024,            0.027443,            0.023521,           0.0072737,            0.009901,            0.009901,            0.009901
                   5,            0.027375,            0.023259,           0.0073153,             0.44656,              0.8925,             0.64795,             0.34945,            0.025411,            0.022729,           0.0071504,            0.009868,            0.009868,            0.009868
                   6,            0.025556,            0.022125,           0.0069231,             0.47549,              0.8475,             0.64284,             0.36903,            0.023443,            0.021926,           0.0070625,            0.009835,            0.009835,            0.009835
                   7,            0.024012,            0.022017,           0.0068302,             0.47698,             0.93125,             0.67508,              0.3402,            0.023329,            0.025126,           0.0071557,            0.009802,            0.009802,            0.009802
                   8,            0.023055,            0.021597,            0.006698,              0.4702,             0.88167,              0.6589,              0.2853,            0.024134,            0.024725,           0.0068854,            0.009769,            0.009769,            0.009769
                   9,            0.021726,            0.020929,           0.0063525,             0.48743,              0.9075,             0.68594,             0.36077,            0.020775,            0.023922,           0.0065839,            0.009736,            0.009736,            0.009736
                  10,            0.021701,            0.021116,           0.0060723,             0.49961,             0.90729,             0.68748,             0.39548,             0.01884,            0.021575,           0.0061101,            0.009703,            0.009703,            0.009703
                  11,            0.020155,            0.020436,           0.0055944,             0.56656,             0.75431,              0.6915,             0.34773,            0.020647,            0.024798,           0.0058855,             0.00967,             0.00967,             0.00967
                  12,            0.020094,            0.020483,            0.005444,             0.82196,             0.62871,             0.71252,             0.36434,            0.020446,            0.022954,           0.0057691,            0.009637,            0.009637,            0.009637
                  13,            0.019856,            0.020236,           0.0048376,             0.75911,             0.66792,             0.72531,             0.42726,            0.017701,            0.023117,           0.0064913,            0.009604,            0.009604,            0.009604
                  14,             0.01872,            0.019924,           0.0045153,              0.5117,             0.92097,              0.6838,             0.36321,            0.023862,            0.025598,            0.012618,            0.009571,            0.009571,            0.009571
                  15,            0.019296,            0.020191,           0.0045348,             0.47507,              0.9092,             0.58353,             0.24927,            0.027579,            0.027631,            0.018074,            0.009538,            0.009538,            0.009538
                  16,             0.01912,            0.020195,           0.0041824,             0.49355,             0.93104,             0.59809,             0.31712,            0.022105,            0.024548,            0.023377,            0.009505,            0.009505,            0.009505
                  17,             0.01803,            0.019647,           0.0038122,             0.44688,             0.84792,             0.55277,             0.23746,            0.027803,            0.032509,             0.03929,            0.009472,            0.009472,            0.009472
                  18,            0.018296,            0.019647,           0.0037885,             0.47124,             0.89646,             0.51997,             0.19022,            0.026428,            0.029686,            0.031031,            0.009439,            0.009439,            0.009439
                  19,            0.017046,            0.019155,           0.0037391,               0.435,             0.73198,             0.45294,             0.19972,            0.023698,             0.02993,            0.036825,            0.009406,            0.009406,            0.009406
                  20,            0.017213,             0.01932,           0.0038275,             0.42392,               0.829,             0.45343,             0.20345,            0.025079,            0.029867,            0.029454,            0.009373,            0.009373,            0.009373
