               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082204,            0.052587,            0.014388,            0.079233,             0.09175,            0.039873,           0.0076297,            0.070132,            0.029868,           0.0094415,              0.0706,           0.0032667,           0.0032667
                   1,            0.062385,            0.033982,           0.0084647,            0.038322,             0.35375,            0.030276,           0.0074861,            0.064589,            0.026265,           0.0081401,            0.040578,           0.0065782,           0.0065782
                   2,            0.056319,            0.032981,           0.0079824,             0.04728,              0.3145,            0.037915,           0.0095896,            0.060163,            0.023534,           0.0079653,            0.010534,           0.0098678,           0.0098678
                   3,            0.050177,            0.033357,           0.0078299,             0.63484,              0.3485,             0.14472,            0.050767,            0.051777,            0.027817,           0.0076069,            0.009901,            0.009901,            0.009901
                   4,            0.045041,            0.032231,           0.0073679,             0.85289,              0.3935,             0.35426,             0.12431,            0.040365,            0.030723,             0.00754,            0.009901,            0.009901,            0.009901
                   5,            0.039682,            0.029969,           0.0073682,             0.79587,              0.3905,             0.42807,             0.18595,             0.03673,            0.025017,           0.0073031,            0.009868,            0.009868,            0.009868
                   6,             0.03545,            0.028665,           0.0073087,             0.41379,             0.56175,             0.47122,             0.24824,            0.027523,            0.024064,            0.007191,            0.009835,            0.009835,            0.009835
                   7,            0.033457,            0.027936,           0.0070493,             0.35418,             0.74075,             0.50422,             0.23469,            0.032267,            0.024914,           0.0071444,            0.009802,            0.009802,            0.009802
                   8,            0.031877,            0.026496,           0.0071852,              0.3324,             0.69075,              0.4649,             0.16987,            0.039021,            0.029485,           0.0070917,            0.009769,            0.009769,            0.009769
                   9,            0.031508,            0.026893,           0.0071782,              0.4175,              0.8115,             0.60671,             0.30806,            0.031882,            0.023405,           0.0070166,            0.009736,            0.009736,            0.009736
                  10,            0.029854,            0.025774,           0.0073355,             0.44331,             0.89875,             0.60828,             0.29249,             0.03864,            0.028085,           0.0070525,            0.009703,            0.009703,            0.009703
                  11,            0.029273,             0.02622,           0.0069904,             0.45656,             0.81025,              0.5787,             0.23208,            0.032083,            0.026426,           0.0069827,             0.00967,             0.00967,             0.00967
                  12,            0.028138,            0.025387,           0.0070261,             0.42052,             0.79025,             0.59892,             0.27628,            0.032729,            0.027626,           0.0069952,            0.009637,            0.009637,            0.009637
                  13,            0.027974,            0.025547,            0.007099,             0.41033,              0.8425,             0.61308,              0.3154,            0.033346,            0.024595,           0.0069381,            0.009604,            0.009604,            0.009604
                  14,            0.027151,            0.025308,           0.0072516,             0.42575,             0.86775,             0.62194,             0.28668,            0.027973,            0.030717,           0.0069503,            0.009571,            0.009571,            0.009571
                  15,            0.027465,            0.025724,           0.0069783,             0.45793,             0.82064,             0.64008,             0.33084,            0.036016,            0.025215,           0.0068412,            0.009538,            0.009538,            0.009538
                  16,            0.025438,            0.024168,           0.0066736,               0.455,             0.83675,             0.64586,             0.30719,             0.02603,            0.027709,           0.0069366,            0.009505,            0.009505,            0.009505
                  17,            0.024885,             0.02414,           0.0068368,             0.38067,             0.81925,             0.52531,             0.20603,             0.03299,            0.032008,           0.0070597,            0.009472,            0.009472,            0.009472
                  18,            0.025571,            0.024753,           0.0067681,             0.44305,               0.892,             0.59468,             0.23677,             0.03111,            0.028599,           0.0069783,            0.009439,            0.009439,            0.009439
                  19,             0.02451,            0.024267,           0.0069506,              0.4148,             0.89775,             0.54907,             0.24294,            0.027598,             0.03186,           0.0070198,            0.009406,            0.009406,            0.009406
                  20,            0.024109,            0.024425,           0.0065235,             0.37124,             0.89475,              0.5221,             0.21985,            0.034279,            0.033258,           0.0069999,            0.009373,            0.009373,            0.009373
                  21,            0.025295,            0.024325,           0.0069259,             0.46709,               0.901,             0.61606,             0.30422,            0.027504,            0.027307,           0.0066923,             0.00934,             0.00934,             0.00934
                  22,            0.022893,            0.024176,           0.0064188,             0.41654,              0.9115,             0.53349,             0.21599,            0.035932,            0.033597,            0.006801,            0.009307,            0.009307,            0.009307
                  23,            0.022918,            0.024067,           0.0059706,             0.39597,             0.84625,             0.57821,             0.22303,            0.030375,            0.035226,           0.0066022,            0.009274,            0.009274,            0.009274
                  24,            0.023536,            0.024016,           0.0059691,             0.43821,                0.91,             0.57731,             0.27094,            0.023666,            0.027194,           0.0060458,            0.009241,            0.009241,            0.009241
                  25,             0.02319,            0.023662,           0.0063712,             0.45676,             0.84775,             0.61162,             0.32585,            0.022862,             0.02677,           0.0060109,            0.009208,            0.009208,            0.009208
                  26,            0.021809,            0.023499,           0.0060124,             0.38906,               0.728,              0.4596,              0.1668,            0.035805,            0.034097,           0.0068656,            0.009175,            0.009175,            0.009175
                  27,            0.022875,            0.023858,           0.0060874,             0.44297,             0.81589,             0.54877,             0.20691,            0.033143,             0.03315,           0.0067213,            0.009142,            0.009142,            0.009142
                  28,             0.02144,            0.023404,           0.0056578,             0.46326,             0.73263,             0.57446,              0.2326,            0.027727,            0.030845,           0.0062386,            0.009109,            0.009109,            0.009109
                  29,            0.020791,            0.023439,            0.005678,             0.54449,               0.683,             0.65503,             0.30742,             0.02478,            0.030961,            0.005678,            0.009076,            0.009076,            0.009076
                  30,            0.021989,            0.023214,           0.0053928,             0.70948,             0.60325,             0.64063,             0.25822,            0.036278,            0.032766,           0.0052376,            0.009043,            0.009043,            0.009043
                  31,            0.021137,            0.023308,           0.0050535,             0.83974,               0.587,             0.66472,             0.33561,            0.023947,            0.029307,           0.0053641,             0.00901,             0.00901,             0.00901
                  32,            0.020188,            0.022863,           0.0051523,             0.85913,             0.58132,             0.68074,             0.40411,            0.018502,            0.022435,           0.0051271,            0.008977,            0.008977,            0.008977
                  33,            0.021659,            0.023192,           0.0049837,             0.79572,             0.61186,             0.69187,             0.34505,             0.02465,            0.027039,            0.005016,            0.008944,            0.008944,            0.008944
                  34,            0.020797,             0.02279,           0.0045645,              0.7729,               0.601,             0.64504,             0.27981,            0.029716,            0.033869,           0.0053673,            0.008911,            0.008911,            0.008911
                  35,            0.020838,            0.023065,           0.0044032,             0.74561,             0.61175,              0.6456,             0.27505,            0.028285,             0.03505,           0.0050972,            0.008878,            0.008878,            0.008878
                  36,            0.020344,            0.022665,           0.0044212,              0.5577,              0.7005,             0.62644,             0.23307,            0.034756,            0.032974,           0.0076922,            0.008845,            0.008845,            0.008845
                  37,            0.020434,            0.022455,           0.0043053,             0.52378,             0.87343,             0.65717,             0.32972,            0.025733,            0.029366,           0.0081894,            0.008812,            0.008812,            0.008812
                  38,            0.019611,            0.022634,           0.0042519,             0.41383,             0.88407,             0.49847,             0.17625,             0.03696,            0.034213,            0.018952,            0.008779,            0.008779,            0.008779
                  39,            0.020211,            0.023528,            0.004353,             0.34888,             0.87812,             0.45783,             0.21116,            0.033086,            0.035585,            0.018348,            0.008746,            0.008746,            0.008746
                  40,            0.019587,            0.022545,            0.004179,             0.24674,               0.812,             0.32908,             0.13385,            0.043661,            0.038488,             0.02051,            0.008713,            0.008713,            0.008713
                  41,             0.01927,            0.022288,           0.0043616,             0.31321,             0.78605,             0.32913,            0.096104,            0.047379,            0.036554,            0.031656,             0.00868,             0.00868,             0.00868
                  42,              0.0197,            0.022988,           0.0043656,             0.42153,             0.83628,             0.47205,             0.19284,            0.032017,            0.032991,            0.023424,            0.008647,            0.008647,            0.008647
                  43,             0.01955,            0.022827,           0.0040128,             0.50115,               0.899,             0.63537,              0.3293,            0.021367,            0.026936,            0.014259,            0.008614,            0.008614,            0.008614
