               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068006,            0.042412,                   0,             0.24154,             0.32165,             0.13827,            0.029467,            0.032951,            0.025852,                   0,            0.070075,            0.003325,            0.003325
                   1,             0.04839,            0.027135,                   0,             0.29262,             0.45625,             0.24514,            0.062848,            0.026099,            0.022472,                   0,            0.039855,           0.0064386,           0.0064386
                   2,            0.043868,            0.026962,                   0,             0.18457,                 0.3,             0.12167,            0.026604,             0.02704,            0.020858,                   0,           0.0094155,           0.0093322,           0.0093322
                   3,            0.040461,            0.027028,                   0,             0.41091,             0.48305,             0.32372,            0.083388,             0.02584,            0.019723,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.034453,            0.027368,                   0,             0.34315,             0.54375,             0.29856,            0.090627,            0.023595,            0.020029,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.030492,            0.026762,                   0,              0.3983,             0.73969,             0.35084,             0.14624,            0.019241,            0.022688,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.028885,            0.026383,                   0,             0.44332,             0.49844,              0.3308,             0.11212,            0.021913,            0.020187,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.026791,            0.025642,                   0,             0.41962,              0.5784,             0.33853,             0.11444,            0.020967,            0.021307,                   0,             0.00802,             0.00802,             0.00802
                   8,               0.026,            0.025016,                   0,              0.4265,             0.46644,             0.31715,             0.11206,            0.021649,            0.020217,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.024648,            0.024924,                   0,             0.41868,             0.61719,             0.37292,             0.11925,            0.020584,            0.020885,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.023881,            0.024651,                   0,             0.46723,             0.62438,             0.42456,             0.16841,            0.017691,            0.021654,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.024215,             0.02458,                   0,             0.49618,             0.58094,             0.41433,             0.15912,            0.018177,            0.020536,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.022726,            0.024588,                   0,             0.45723,             0.63625,             0.43456,             0.17078,            0.018389,            0.020713,                   0,             0.00637,             0.00637,             0.00637
                  13,             0.02216,            0.024527,                   0,             0.40465,             0.65844,             0.38472,             0.14738,            0.019868,            0.021036,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.022495,            0.024105,                   0,             0.43065,             0.51719,              0.3611,             0.12607,            0.020773,            0.019894,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.021857,            0.024087,                   0,             0.53187,             0.54394,             0.41838,             0.14965,            0.018678,            0.019914,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.021546,            0.023817,                   0,             0.55592,             0.55563,              0.4388,             0.16674,             0.01779,            0.019887,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.021313,            0.023817,                   0,             0.48465,             0.49726,               0.377,             0.13564,            0.020376,            0.019479,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.021021,            0.023552,                   0,              0.5544,             0.56906,             0.47508,             0.18113,            0.017814,            0.019524,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.020529,              0.0234,                   0,             0.54113,             0.57437,             0.48438,               0.182,            0.017991,            0.019913,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.020325,            0.023627,                   0,             0.57718,             0.57588,             0.49467,             0.19551,            0.017348,             0.01963,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.020163,            0.023032,                   0,             0.57421,             0.56852,             0.49675,             0.19758,            0.017631,            0.019484,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.019957,            0.023701,                   0,             0.56132,               0.555,             0.48373,             0.18576,            0.018537,            0.019357,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.020076,            0.023573,                   0,             0.53873,             0.57688,             0.50397,             0.19666,            0.017996,            0.019708,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.019967,            0.023249,                   0,             0.56286,             0.56156,             0.49929,             0.19755,            0.018387,            0.019439,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.019582,            0.023262,                   0,             0.55093,             0.54531,             0.48923,             0.19112,            0.018628,            0.019427,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.019861,            0.023232,                   0,             0.56856,             0.56906,             0.50733,             0.20019,            0.017912,            0.019258,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.019413,            0.023169,                   0,             0.55301,             0.54474,             0.47602,              0.1791,            0.018694,            0.019523,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.019301,            0.023238,                   0,             0.55803,             0.55316,             0.48435,             0.18493,            0.018774,             0.01952,                   0,             0.00109,             0.00109,             0.00109
                  29,             0.01946,            0.023042,                   0,             0.57053,               0.565,             0.49838,             0.19607,            0.018064,            0.019305,                   0,             0.00076,             0.00076,             0.00076
