date,Model_name,Batch_size,Resolution,No. training,No. testing,Training Epoch,More,box_loss,obj_loss,cls_loss,precision,recall,mAP_0.5,mAP_0.5:0.95,No. star,No. BH,Time,BH_lower_size,BH_upper_size,init_size,wavelength,D,F,angular_pixel_size_input_image,CCD_pixel_size,CCD_pixel_count,noise_radius
2024-01-23_14-38-38,yolov5,16,1024,4000.0,1000.0,1000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,6.626419833,,,,,,,,,,
2024-01-24_22-35-21,yolov5,16,1024,400.0,100.0,100,,0.013458,0.032129,0.0014513,0.9826,0.92309,0.94868,0.65893,10.0,1.0,4524.368536,64.0,75.0,3072.0,5e-08,6.5,131.4,,,,
2024-01-25_10-36-29,yolov5,16,1024,400.0,100.0,100,,0.015844,0.35476,0.0021111,0.93321,0.72592,0.86938,0.649,10.0,1.0,981.921202,64.0,75.0,,5e-08,6.5,131.4,0.00012,7.64453e-08,3072.0,
2024-01-25_11-11-38,yolov5,16,1024,400.0,100.0,300,,0.012634,0.21916,0.0016386,0.93128,0.81988,0.89551,0.63842,10.0,1.0,2161.932862,64.0,75.0,,5e-08,6.5,131.4,0.0001,6.37045e-08,3072.0,
2024-01-25_13-20-31,yolov5,16,1024,400.0,100.0,200,,0.014579,0.24963,0.0017975,0.91552,0.80163,0.90055,0.65303,10.0,1.0,1430.769222,64.0,75.0,,5e-08,6.5,131.4,0.0001,6.37045e-08,3072.0,
2024-01-25_15-12-47,yolov5,16,1024,400.0,100.0,200,,0.010991,0.28286,0.0027337,0.79535,0.72408,0.88177,0.64328,10.0,1.0,1277.885473,64.0,75.0,,1e-07,6.5,131.4,0.0001,6.37045e-08,3072.0,
2024-01-25_16-35-26,yolov5,16,1024,400.0,100.0,200,,0.010648,0.96122,0.00093918,0.63633,0.66113,0.87324,0.64518,10.0,1.0,1403.037517,64.0,75.0,3072.0,1e-07,6.5,131.4,0.00012,7.64453e-08,3072.0,
2024-01-25_19-11-04,yolov5,16,1024,400.0,100.0,200,,0.016537,0.070339,0.0027102,0.90539,0.66841,0.84523,0.5288,10.0,1.0,1446.897753,64.0,75.0,3072.0,1e-07,6.5,131.4,8e-05,5.09636e-08,3072.0,
2024-01-25_21-41-52,yolov5,16,1024,400.0,100.0,200,,0.016614,0.024735,0.0081455,0.92369,0.4245,0.65467,0.40356,10.0,1.0,1010.847897,64.0,75.0,3072.0,1e-07,6.5,131.4,6e-05,3.82227e-08,3072.0,
2024-01-26_10-54-37,yolov5,16,1024,800.0,200.0,100,,0.021704,0.021193,0.012717,0.55387,0.64861,0.60519,0.31069,10.0,1.0,1205.58391,64.0,75.0,3072.0,1e-07,6.5,131.4,5.5e-05,3.50375e-08,3072.0,
2024-01-26_11-21-12,yolov5,16,1024,800.0,200.0,100,,0.018749,0.024162,0.008262,0.62542,0.5109,0.56864,0.32093,10.0,1.0,1202.105572,64.0,75.0,3072.0,1e-07,6.5,131.4,4.5e-05,2.8667e-08,3072.0,
2024-01-26_14-15-10,yolov5,16,1024,800.0,200.0,100,,0.019518,0.024605,0.0076021,0.58108,0.5735,0.52674,0.29897,10.0,1.0,1223.625638,64.0,75.0,3072.0,1e-07,6.5,131.4,4e-05,2.54818e-08,3072.0,
2024-01-26_22-21-18,yolov5,16,1024,800.0,200.0,100,,0.024349,0.030619,0.0072011,0.62491,0.54475,0.53846,0.2436,10.0,1.0,2545.783255,64.0,75.0,3072.0,1e-07,6.5,131.4,3.5e-05,2.22966e-08,3072.0,
