date,Model_name,Batch_size,Resolution,No. training,No. testing,Training Epoch,More,box_loss,obj_loss,cls_loss,precision,recall,mAP_0.5,mAP_0.5:0.95,Time,noise_radius
2024-07-14_14-09-40,yolov5,2,1024,800,200,30,,0.012756,0.081205,0,0.052811,0.945,0.052281,0.037247,984.2088069,20
2024-07-14_14-29-54,yolov5,2,1024,800,200,30,,0.017709,0.025362,0,0.98668,0.97611,0.99415,0.78347,1233.045993,20
